weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp
0.0,0.0001,8,8192,70,0.0001,,,,,0.5492391726165488,,,,
0.0001,0.001,8,8192,70,0.001,,,,,1.1800507780229836,,,,
0.0001,0.0001,8,1024,30,0.0001,,,,,0.5391672738550002,,,,
0.0001,0.0001,6,8192,70,0.0001,,,,,0.6122400797249978,,,,
0.0001,0.0001,6,4096,70,0.0001,,,,,0.5431938438039077,,,,
0.0,0.0001,10,8192,50,0.0001,,,,,0.495900485860674,,,,
0.0,0.0001,8,4096,50,0.001,,,,,0.5087700499254361,,,,
0.0001,0.0001,8,4096,30,0.0001,,,,,0.8106367750126019,,,,
0.0001,0.0001,5,1024,70,0.001,,,,,0.5363542789168525,,,,
0.0,0.0001,6,4096,70,0.0001,,,,,0.5324683324025389,,,,
0.0001,0.0001,10,4096,30,0.001,,,,,0.6693226083328849,,,,
0.0,0.001,5,2048,30,0.0001,,,,,0.5520352368292055,,,,
0.0001,0.0001,8,1024,50,0.0001,,,,,0.8019174532147876,,,,
0.0,0.001,5,2048,70,0.0001,,,,,0.6111033720928326,,,,
0.0001,0.001,8,8192,30,0.001,,,,,0.644125122511596,,,,
0.0,0.001,6,4096,70,0.001,,,,,0.7212114399462416,,,,
0.0,0.001,6,1024,50,0.0001,,,,,0.5664364452424803,,,,
0.0,0.0001,8,1024,50,0.0001,,,,,0.6948033045781287,,,,
0.0001,0.001,6,1024,30,0.0001,,,,,1.4421611125009102,,,,
0.0,0.001,8,2048,50,0.001,,,,,0.590202372586518,,,,
0.0001,0.001,8,1024,30,0.0001,,,,,0.7439360131035772,,,,
0.0,0.001,5,1024,30,0.001,,,,,0.581324176438022,,,,
0.0,0.001,6,2048,50,0.001,,,,,0.5624558966149363,,,,
0.0,0.001,6,2048,50,0.001,,,,,0.531267254498967,,,,
0.0,0.001,6,4096,30,0.0001,,,,,0.6405338009721354,,,,
0.0001,0.001,8,1024,30,0.001,,,,,0.5349288761877177,,,,
0.0001,0.0001,5,2048,30,0.0001,,,,,0.5330517153468048,,,,
0.0001,0.001,5,4096,30,0.0001,,,,,1.0472242921067958,,,,
0.0001,0.0001,6,1024,70,0.001,,,,,0.5849912395341355,,,,
0.0,0.0001,10,1024,70,0.001,,,,,0.5666740622959638,,,,
0.0001,0.001,10,8192,70,0.0001,,,,,0.9945119645511895,,,,
0.0001,0.0001,10,2048,30,0.001,,,,,0.5745317871894753,,,,
0.0,0.0001,5,1024,50,0.001,,,,,0.5838835733501535,,,,
0.0,0.001,8,1024,30,0.001,,,,,0.7709033614710757,,,,
0.0001,0.0001,8,1024,50,0.001,,,,,0.8861782472384604,,,,
0.0,0.0001,6,4096,70,0.001,,,,,0.5406885628114667,,,,
0.0001,0.001,8,1024,30,0.0001,,,,,0.5190158614463973,,,,
0.0001,0.001,5,2048,70,0.0001,,,,,0.49606835306213615,,,,
0.0,0.0001,10,2048,30,0.001,,,,,1.2320386736016524,,,,
0.0001,0.0001,6,1024,30,0.0001,,,,,1.0748009550989719,,,,
0.0001,0.0001,8,1024,50,0.001,,,,,0.5847971306035393,,,,
0.0001,0.001,5,1024,50,0.0001,,,,,0.7343528333463167,,,,
0.0001,0.0001,6,8192,50,0.001,,,,,0.6035233453700417,,,,
0.0,0.001,8,2048,30,0.0001,,,,,0.5570199190263163,,,,
0.0,0.0001,6,2048,70,0.0001,,,,,0.5599357070107209,,,,
0.0001,0.0001,8,2048,30,0.001,,,,,0.5504702530932009,,,,
0.0001,0.001,5,2048,70,0.001,,,,,0.6911067852848455,,,,
0.0001,0.001,6,1024,50,0.001,,,,,0.5116482927349576,,,,
0.0001,0.001,6,8192,50,0.001,,,,,0.5359225462664637,,,,
0.0,0.0001,5,2048,30,0.0001,,,,,0.6124187794170881,,,,
0.0001,0.001,10,1024,50,0.0001,,,,,0.5391502997331452,,,,
0.0,0.001,10,2048,70,0.001,,,,,0.6878851341050968,,,,
0.0001,0.0001,6,1024,30,0.001,,,,,0.5972804960451628,,,,
0.0001,0.001,6,2048,50,0.001,,,,,0.5665556231611654,,,,
0.0,0.0001,5,1024,70,0.001,,,,,0.5686325147225145,,,,
0.0,0.001,10,8192,30,0.001,,,,,0.6364774011206209,,,,
0.0,0.0001,10,1024,70,0.0001,,,,,0.5220114393976697,,,,
0.0,0.0001,8,8192,70,0.0001,,,,,0.5533860052625338,,,,
0.0,0.0001,10,4096,70,0.0001,,,,,0.579194424445169,,,,
0.0001,0.001,8,2048,50,0.0001,,,,,0.7022461689877928,,,,
0.0001,0.0001,6,2048,30,0.0001,,,,,0.9465036397440392,,,,
0.0,0.0001,8,1024,70,0.0001,,,,,0.5719722386514932,,,,
0.0,0.0001,6,8192,70,0.0001,,,,,0.5021568860924035,,,,
0.0001,0.0001,10,8192,50,0.001,,,,,0.599071504515514,,,,
0.0001,0.001,10,2048,70,0.0001,,,,,0.5345035621471572,,,,
0.0,0.0001,8,8192,70,0.0001,,,,,0.517702454537676,,,,
0.0001,0.001,6,2048,30,0.0001,,,,,0.7728027910516974,,,,
0.0,0.0001,8,8192,50,0.0001,,,,,0.5022993877268674,,,,
0.0,0.0001,5,1024,70,0.0001,,,,,0.5119527957418508,,,,
0.0001,0.001,8,8192,50,0.001,,,,,0.6042851256696802,,,,
0.0001,0.001,5,2048,30,0.0001,,,,,0.6789571729145552,,,,
0.0001,0.001,6,1024,30,0.001,,,,,0.591982436807532,,,,
0.0001,0.0001,6,2048,30,0.0001,,,,,0.9238693081496054,,,,
0.0,0.001,5,2048,30,0.0001,,,,,0.5862985496458254,,,,
0.0001,0.0001,6,1024,70,0.0001,,,,,0.5367199735421884,,,,
0.0,0.0001,10,8192,50,0.001,,,,,0.5403324875392412,,,,
0.0,0.0001,6,8192,70,0.001,,,,,0.5260034258428373,,,,
0.0,0.0001,6,8192,30,0.0001,,,,,0.5472826211337458,,,,
0.0001,0.001,10,1024,30,0.0001,,,,,1.0460664397268964,,,,
0.0,0.001,5,2048,70,0.001,,,,,0.5376812082372213,,,,
0.0001,0.0001,5,2048,50,0.0001,,,,,0.5322697692011532,,,,
0.0001,0.001,5,1024,30,0.0001,,,,,0.9349680600459116,,,,
0.0,0.001,6,8192,50,0.0001,,,,,0.6513800686388685,,,,
0.0001,0.0001,8,8192,70,0.0001,,,,,0.5215091238680639,,,,
0.0001,0.0001,8,1024,70,0.0001,,,,,0.6010045598734889,,,,
0.0,0.0001,10,1024,70,0.001,,,,,0.5532795300609187,,,,
0.0,0.001,5,2048,50,0.0001,,,,,0.5771290723953331,,,,
0.0001,0.0001,8,1024,70,0.0001,,,,,0.5280801723139328,,,,
0.0001,0.001,8,4096,70,0.0001,,,,,0.5275581158828317,,,,
0.0001,0.001,10,2048,30,0.0001,,,,,0.8082293922963896,,,,
0.0001,0.001,5,1024,70,0.0001,,,,,0.501655347253147,,,,
0.0,0.001,8,2048,30,0.0001,,,,,0.5972054250407637,,,,
0.0,0.0001,8,4096,50,0.0001,,,,,0.6846410961527574,,,,
0.0,0.001,6,8192,70,0.001,,,,,1.3377205604001094,,,,
0.0,0.0001,10,2048,50,0.001,,,,,0.5357105959402887,,,,
0.0,0.001,10,4096,70,0.001,,,,,0.599429034611635,,,,
0.0001,0.0001,10,2048,30,0.001,,,,,0.5092736751886836,,,,
0.0,0.001,8,1024,30,0.001,,,,,1.1398226362571382,,,,
0.0,0.001,5,8192,70,0.001,,,,,0.5688075676821825,,,,
0.0,0.001,6,4096,50,0.001,,,,,0.8951741117134429,,,,
