weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp
0.0,0.001,3,128,30,0.0001,650.7048568847656,711.8289120019531,662.2389124511719,698.2779100488282,735.8436683007812,681.9155842871094,681.9587494628906,581.7129039208984,581.7753014453125
0.0001,0.001,4,128,30,0.001,653.7275666503906,707.81320640625,664.9082214453125,694.6795154589844,740.8557214355469,674.5250096582031,675.0881951855469,553.021964584961,553.4243408886718
0.0,0.001,3,128,50,0.001,655.7624397460937,711.1673303613281,664.7171769921875,707.6681719726563,746.7356554492187,649.0119382617188,649.5852481640625,558.4224080859375,558.7856346484375
0.0,0.001,6,128,50,0.001,662.3493352929687,720.7623597460937,674.2203343164063,713.7784718554688,730.9404020996094,640.6466798144531,641.2141480175782,578.2025228515625,578.6079624804687
0.0,0.001,5,256,30,0.001,668.5793333398437,719.9878990429687,678.8810142089844,716.7508938476562,739.6986033007812,649.5969961328125,650.0396788769531,563.3008729492187,563.657644921875
0.0,0.001,6,128,50,0.001,672.1486043066407,727.9780469824219,683.30460140625,708.782328359375,723.6670289160156,660.2319309912109,660.8528391015625,576.9105450048828,577.1853510009765
0.0,0.0001,4,128,70,0.001,672.8581519433594,726.4951817089843,680.6001995703125,708.6648027441406,708.6683137597656,614.1796336035156,614.4799641650391,551.0723124316406,551.5004257373047
0.0,0.001,3,256,30,0.0001,675.2011359082031,738.48700671875,683.3990596289062,722.1284453222656,745.0781654199219,663.5983740332031,663.6391666503906,562.0041029150391,562.0833145751953
0.0001,0.001,3,256,30,0.001,677.8930681152344,732.2295146386718,682.7613611914062,721.1610897265625,735.6524282324219,657.5815633496094,658.0337619921875,561.2541094384766,561.7204651611328
0.0001,0.0001,3,128,70,0.001,678.18647609375,721.0078497851563,685.0837846386719,714.4167420410156,718.5660652832031,665.6405562109375,665.9866828710938,530.6170022558593,530.9743927294921
0.0,0.001,4,256,30,0.001,681.7776770556641,734.6704074902344,686.9590279882813,727.6897603027344,733.4543037207031,641.7880172460938,642.3711907910156,564.9842814453125,565.3181912109375
0.0,0.0001,5,128,70,0.0001,683.8728579492188,739.3358518945313,692.4424139257812,722.6579413867188,730.1142100878906,635.6527808837891,635.669378178711,554.2895762402344,554.2986151757813
0.0,0.001,4,256,30,0.001,685.0295330859375,743.4468523730469,691.6792401464844,709.4539483007812,734.1436544433594,638.73491015625,639.1657869628906,564.4321230712891,564.6828737109375
0.0,0.001,5,256,50,0.001,686.847823828125,753.4889627832031,691.7890198144531,730.6392723828125,735.873168203125,633.6388675976563,634.2569534277344,564.6104041015625,565.0097275048828
0.0001,0.0001,4,128,50,0.0001,690.1621359960938,730.9011772070312,698.9454794726563,714.1350353808593,713.3205562207031,650.7302437890625,650.7631290527344,533.0363148339844,533.0924874072266
0.0001,0.0001,3,256,70,0.001,690.2911782519532,742.6511031835937,694.80926921875,735.5868183886719,731.3634826464844,618.4378735449219,618.8672958691407,529.7287629882812,530.2785824853515
