weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp
0.0001,0.001,8,64,30,0.0001,,,,,0.5589606205099508,,,,
0.0,0.0001,6,4096,30,0.001,,,,,0.5180383460563526,,,,
0.0001,0.001,8,128,30,0.001,,,,,1.1120682071175492,,,,
0.0,0.0001,6,1024,70,0.001,,,,,0.5287094790684549,,,,
0.0,0.001,8,2048,70,0.001,,,,,0.5622267576686123,,,,
0.0001,0.0001,6,4096,70,0.001,,,,,0.8183211396660721,,,,
0.0001,0.001,6,256,50,0.001,,,,,0.5423996796210607,,,,
0.0,0.0001,5,4096,50,0.001,,,,,0.5435285377397872,,,,
0.0,0.0001,8,1024,50,0.0001,,,,,0.6143850833177567,,,,
0.0,0.001,6,64,70,0.001,,,,,0.7067730314376062,,,,
0.0,0.001,5,512,50,0.001,,,,,0.7624390645508181,,,,
0.0001,0.0001,8,2048,70,0.0001,,,,,0.5837566595067057,,,,
0.0,0.0001,10,64,50,0.0001,,,,,0.6453586304396913,,,,
0.0001,0.0001,5,1024,50,0.001,,,,,0.531829980773884,,,,
0.0001,0.0001,8,8192,50,0.0001,,,,,0.5278261848970464,,,,
0.0001,0.0001,10,64,50,0.001,,,,,0.6587449895185337,,,,
0.0,0.0001,5,8192,70,0.001,,,,,0.590774096940693,,,,
0.0001,0.001,8,4096,70,0.0001,,,,,0.7022851483340848,,,,
0.0001,0.001,6,256,70,0.001,,,,,0.5266732442797276,,,,
