weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp
0.0001,0.001,5,1024,70,0.001,0.08867892800615385,0.2511671556876256,0.08936754694351783,0.11283820947775473,0.10484108065183347,0.08878597766160964,0.08885454076987047,0.08709594441147951,0.087297451037627
0.0001,0.001,10,1024,50,0.0001,0.09003908794659835,0.24235207942815928,0.09018394505748382,0.11466586177165691,0.10577705342036027,0.09428070514247967,0.094297766742798,0.08753469477479274,0.08753792036038179
0.0001,0.001,5,256,50,0.001,0.09032143904612615,0.23275876687123226,0.08973260596394539,0.1159664423419879,0.11263944581151009,0.09543079756773436,0.09584911689162254,0.09171351394974268,0.09190131339889307
0.0,0.001,6,128,30,0.0001,0.09251637246746283,0.23854898833311522,0.09261640052382762,0.11695376153175648,0.11029920566540498,0.09438668048152557,0.09445748908015397,0.09191052266038381,0.09193482593848155
0.0,0.001,5,4096,70,0.0001,0.09286166744736525,0.2859976266439144,0.09219869999931408,0.1232560837498078,0.11371543716925842,0.10201412496658471,0.1020296308856744,0.09146898492024495,0.09143548069091943
0.0001,0.001,5,64,30,0.001,0.0939098016000711,0.23904094994068145,0.0931176683650567,0.11398740926614175,0.10757137451034327,0.09584455501574736,0.09618907163922603,0.09350539806943674,0.09363242668601182
0.0001,0.0001,6,64,50,0.001,0.09401955776489698,0.2344103130010458,0.09378294010575002,0.1171627931869947,0.10346151619003369,0.09425501393584104,0.09434683678241876,0.08377989106453382,0.08423460022761271
0.0001,0.001,5,1024,70,0.0001,0.09431210779226744,0.2501112564251973,0.09362191913219599,0.11529463592630167,0.10757804054480333,0.0917295794074352,0.09172676732906929,0.09124592227431444,0.09123459991354209
0.0,0.0001,5,128,70,0.0001,0.09439512227590267,0.25978754667135384,0.09472251296616517,0.1155617213019958,0.11442332909657404,0.10044517717682398,0.100421825165932,0.09847106337547303,0.09845510987708202
0.0,0.0001,5,128,70,0.0001,0.09485638204675455,0.2343505786015437,0.09403337458005319,0.1155558923116097,0.11212061460201557,0.09625025850075941,0.09626291594826258,0.10145850674464152,0.10153937354110755
0.0001,0.0001,6,128,50,0.001,0.0950920609327463,0.23916486134895912,0.09494198583639585,0.11435159290066133,0.10455228508665011,0.0943712756037712,0.09428599631557098,0.08799527528194281,0.08833919757833848
0.0001,0.0001,6,2048,70,0.0001,0.09542277615803939,0.2260597994694343,0.09569489007385877,0.11412705807731702,0.13523928425632992,0.1212400720669673,0.12113753259181977,0.11013022457750944,0.11027716088753481
0.0,0.001,10,128,30,0.001,0.09560362146450924,0.2664029449224472,0.09664776124633276,0.11789018385685407,0.10811342780406659,0.09051797945912067,0.09081798293269598,0.08698484909075957,0.0871190848831947
0.0,0.0001,6,256,50,0.0001,0.09571039653741396,0.2664130178781656,0.09594002973574858,0.11447649890413651,0.11710359150400529,0.10537703272241812,0.1054096200145208,0.09846590104011389,0.09860910288989544
0.0,0.0001,6,256,50,0.001,0.09620866637963515,0.2319712010713724,0.09717354728625371,0.11528749683728585,0.11658141188896619,0.10680992488677685,0.10693584044392292,0.10032810365351347,0.10019831279149423
0.0,0.0001,10,128,70,0.001,0.09672443603093807,0.23568203357549813,0.09719963383216124,0.11735300192466148,0.11261362118216661,0.10590843145663921,0.10640262852494534,0.09853353208074203,0.09879922958520743
0.0,0.001,6,8192,50,0.001,0.09703875705599785,0.22678135908566988,0.0951289750635624,0.12324156732513354,0.10723524655287082,0.10688096107198641,0.10689358653930517,0.09052221425450765,0.09088941881289848
0.0001,0.001,10,512,70,0.0001,0.09719075486063958,0.25902644670926606,0.09690954765448204,0.11584839820861817,0.11099039247402778,0.09335420630299128,0.09332303559550872,0.09584777653217316,0.09585348235873076
0.0001,0.001,8,4096,70,0.001,0.09723272919654846,0.19382106249149028,0.09700213286739129,0.11592265040828631,0.10739328723687391,0.1322773468035918,0.13257224559783937,0.08902680541460331,0.08947287860971231
0.0001,0.001,6,1024,50,0.001,0.09784292143124801,0.24687713017830482,0.09745001775714067,0.11494160919235302,0.10694958510307165,0.0947796500646151,0.09496561197134165,0.08968613325403287,0.08990735933184624
0.0,0.001,8,2048,30,0.0001,0.09906852468848229,0.20555625076477343,0.09927889492649299,0.11547137464468296,0.10672470096212167,0.10373653402695289,0.10371274409385828,0.09725939883635594,0.09727333795565825
0.0,0.0001,10,512,50,0.0001,0.10181278678087088,0.25142631989258984,0.10244362652301789,0.11605631445462887,0.12244655077274029,0.11232741807515804,0.11232212094160227,0.11163670735863539,0.11166498580804238
0.0001,0.0001,8,1024,70,0.0001,0.10235213290613432,0.24464709231486687,0.10204067682990661,0.12232727288053585,0.1301214805016151,0.11613882911893038,0.1161865475659187,0.10556740118907049,0.1056613408602201
0.0001,0.0001,8,1024,70,0.0001,0.10361288344630828,0.25357246032127967,0.10407795418913547,0.11689843403605314,0.12849307793837328,0.11618689092305991,0.11612756395569214,0.11264591105282307,0.11254959585001835
0.0001,0.001,6,8192,50,0.0001,0.12808247013733937,0.21900550356278053,0.1130643571798618,0.14406396677860847,0.11371230815465634,0.12301155546536813,0.1229844810297856,0.08612709587010053,0.08616168074882948
