weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp,val_loss_hard_comp_mlp
0.0001,0.0001,5,64,30,0.0001,,,,,,,,,,0.1024452292575286
0.0001,0.0001,8,4096,50,0.0001,,,,,,,,,,0.11125368624925613
0.0,0.0001,10,8192,70,0.0001,,,,,,,,,,0.10268603058961721
0.0001,0.001,5,1024,50,0.0001,,,,,,,,,,0.16740610083708396
0.0001,0.001,8,2048,30,0.001,,,,,,,,,,0.1650553413308584
0.0001,0.001,5,4096,50,0.0001,,,,,,,,,,0.17288950819235582
0.0001,0.0001,10,256,50,0.001,,,,,,,,,,0.11819304686326247
0.0001,0.0001,8,64,50,0.0001,,,,,,,,,,0.11374053152707907
0.0001,0.001,5,512,50,0.001,,,,,,,,,,0.1678742820253739
0.0001,0.0001,6,2048,50,0.001,,,,,,,,,,0.11467808072383587
0.0,0.001,10,64,50,0.0001,,,,,,,,,,0.09564820313109801
0.0001,0.001,5,2048,50,0.0001,,,,,,,,,,0.1662074618614637
0.0001,0.001,10,128,30,0.001,,,,,,,,,,0.16060897627702125
0.0001,0.001,5,64,30,0.0001,,,,,,,,,,0.16163733578645267
0.0,0.001,6,256,30,0.0001,,,,,,,,,,0.07856406202683082
0.0,0.001,5,64,70,0.0001,,,,,,,,,,0.08890557174499218
0.0,0.001,5,4096,30,0.0001,,,,,,,,,,0.08250725206274252
0.0,0.0001,6,1024,30,0.0001,,,,,,,,,,0.10103542672900054
0.0,0.0001,10,4096,30,0.001,,,,,,,,,,0.08610065178229259
0.0,0.001,8,1024,30,0.0001,,,,,,,,,,0.0849588648057901
0.0,0.001,10,2048,30,0.0001,,,,,,,,,,0.08093046391239533
0.0001,0.0001,8,1024,50,0.001,,,,,,,,,,0.11107252435042309
0.0,0.0001,6,2048,50,0.001,,,,,,,,,,0.10395127821427125
0.0,0.0001,5,512,50,0.0001,,,,,,,,,,0.11267096853026977
0.0,0.0001,5,256,70,0.0001,,,,,,,,,,0.10996532898682815
0.0,0.001,10,256,50,0.001,,,,,,,,,,0.09519772403515302
0.0,0.0001,6,8192,50,0.001,,,,,,,,,,0.10542547123936506
0.0,0.0001,5,1024,30,0.001,,,,,,,,,,0.09659862008232337
0.0001,0.0001,8,512,50,0.0001,,,,,,,,,,0.11285191407570472
