weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp,val_loss_hard_comp_mlp
0.0,0.001,5,64,50,0.0001,,,,,,,,,,1.8740353896282613
0.0,0.001,6,2048,30,0.0001,,,,,,,,,,2.432230355218053
0.0,0.001,6,256,70,0.001,,,,,,,,,,2.7573494371026754
0.0,0.0001,5,4096,70,0.0001,,,,,,,,,,2.5749246468767524
0.0001,0.0001,5,64,30,0.001,,,,,,,,,,8.342962797731161
0.0001,0.0001,6,64,30,0.001,,,,,,,,,,8.374029874801636
0.0,0.001,8,256,70,0.001,,,,,,,,,,2.948767626658082
0.0,0.001,8,256,50,0.0001,,,,,,,,,,2.4625719292089343
0.0001,0.001,10,4096,50,0.0001,,,,,,,,,,11.593589451164007
0.0,0.001,10,1024,70,0.0001,,,,,,,,,,2.530298026278615
0.0001,0.001,6,8192,50,0.001,,,,,,,,,,12.647932194173336
0.0,0.001,8,512,50,0.0001,,,,,,,,,,2.729317059740424
0.0001,0.0001,10,8192,50,0.0001,,,,,,,,,,12.82131303101778
0.0001,0.0001,10,256,70,0.0001,,,,,,,,,,11.468545988202095
0.0001,0.0001,10,512,30,0.001,,,,,,,,,,8.291774589568377
0.0,0.0001,8,4096,50,0.001,,,,,,,,,,2.5156365111470222
0.0001,0.0001,6,64,30,0.001,,,,,,,,,,8.325274392962456
0.0,0.001,6,8192,30,0.0001,,,,,,,,,,2.5461607594043016
0.0001,0.0001,6,1024,30,0.001,,,,,,,,,,8.778365232050419
0.0,0.0001,8,64,30,0.0001,,,,,,,,,,1.8375402204692364
0.0,0.0001,5,128,70,0.001,,,,,,,,,,1.896639701910317
0.0001,0.001,10,8192,30,0.0001,,,,,,,,,,11.339329458773136
0.0001,0.001,5,256,50,0.0001,,,,,,,,,,11.663276050239801
0.0,0.001,10,8192,50,0.001,,,,,,,,,,2.9153818134218454
0.0001,0.0001,10,512,50,0.001,,,,,,,,,,11.514987878501415
0.0001,0.0001,6,128,70,0.001,,,,,,,,,,11.223898060619831
0.0,0.001,8,4096,50,0.001,,,,,,,,,,2.651649790816009
0.0,0.001,5,8192,70,0.001,,,,,,,,,,2.669568835757673
0.0001,0.001,10,128,30,0.001,,,,,,,,,,11.445692770183086
0.0001,0.0001,10,4096,50,0.0001,,,,,,,,,,12.633904233574867
0.0001,0.001,5,128,50,0.0001,,,,,,,,,,11.398299511522055
0.0,0.001,6,128,50,0.0001,,,,,,,,,,2.007842916995287
0.0001,0.001,10,512,70,0.001,,,,,,,,,,12.370714135468006
0.0001,0.0001,10,4096,30,0.0001,,,,,,,,,,9.648421540856361
0.0,0.001,8,256,30,0.0001,,,,,,,,,,2.3446823293343186
0.0,0.001,5,512,50,0.0001,,,,,,,,,,2.7410228941589594
0.0001,0.0001,5,1024,50,0.001,,,,,,,,,,11.342002648860216
0.0,0.001,10,512,30,0.0001,,,,,,,,,,2.504566199146211
0.0,0.0001,8,128,30,0.001,,,,,,,,,,1.86310646077618
0.0001,0.001,5,256,30,0.001,,,,,,,,,,11.209859155118465
0.0,0.001,10,512,30,0.001,,,,,,,,,,3.3711725510656834
0.0001,0.001,5,256,50,0.001,,,,,,,,,,11.38742509111762
0.0001,0.0001,6,64,70,0.0001,,,,,,,,,,11.148017771542072
0.0,0.0001,6,8192,50,0.001,,,,,,,,,,2.4357268316671252
0.0001,0.001,10,1024,70,0.0001,,,,,,,,,,11.313920073211193
