weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp,val_loss_hard_bitwise_minmax_mlp,val_loss_hard_bitwise_quantile_mlp
0.0001,0.001,6,64,50,0.001,1.0997339566238225,1.1473710220307112,1.1381100281141698,1.1251956545747817,1.5202035689726472,1.129348387941718,1.131086319219321,1.1594981383532286,1.1656540166586635,11.157701879739761,11.191883411258459
0.0001,0.0001,8,64,70,0.001,1.1080099404789507,1.1533061512745917,1.1463134665973485,1.164397883694619,1.723878912627697,1.4820828041993082,1.48492636019364,1.16403191909194,1.1699013975448906,11.136009026318789,11.194241009652615
0.0001,0.001,6,64,30,0.0001,1.108385064639151,1.1504924367181957,1.1503263395279646,1.408462168648839,1.9205141691491008,1.2565165422856808,1.2565155955962837,1.1432302733883262,1.1432281122542918,11.157871164381504,11.104775596410036
0.0,0.001,8,2048,30,0.001,1.1139964060857892,1.1552689797244966,1.1588601819239557,1.1719104326330123,2.13561740424484,2.14008569996804,2.1463369177654386,1.630265669897199,1.636474832892418,1.7345630368217826,1.3675495507195592
0.0,0.001,6,64,50,0.0001,1.1163529632613065,1.1622009123675523,1.1573942815884948,1.2361201629973948,1.3112924043089151,1.1484074592590332,1.148407423403114,1.155048266518861,1.155048959888518,1.166127727366984,1.1489038788713515
0.0,0.0001,10,64,70,0.001,1.1212367373518646,1.1661545117385683,1.167187771294266,1.233990540727973,1.3570377412252128,1.6273363609798253,1.6307456265203657,1.1144088450819254,1.1199443987570703,1.132126858457923,1.0979978530667722
0.0001,0.0001,6,128,70,0.0001,1.126516348216683,1.1709455945529044,1.173906730953604,1.2158304597251115,1.378386635798961,1.642373297829181,1.6423732666298747,1.1269698990508914,1.1269701533019545,11.15395300462842,11.534186407923698
0.0,0.001,8,64,50,0.0001,1.12862962577492,1.1687087952159343,1.1702493731863797,1.2871050885878503,1.6614553797990084,1.1456525102257729,1.1456525535322726,1.2306463536806405,1.2306468961760402,1.1628441219218075,1.117079557850957
0.0001,0.0001,8,64,50,0.0001,1.1288271169178188,1.1714267549104989,1.1730928337201476,1.1901584193110466,1.5614624191075563,2.16892971843481,2.168929783627391,1.098880591802299,1.0988807817921042,10.852503228932619,10.894736122339964
0.0,0.0001,5,64,70,0.001,1.1293605412356555,1.1685905223712325,1.167561647016555,1.1616167747415602,1.65038632042706,1.5584169896319509,1.5645624846220016,1.1496900534257293,1.1540598501451311,1.099716180935502,1.1062121684662998
0.0001,0.001,6,256,30,0.0001,1.1352162160910666,1.183941517956555,1.1822582026943564,1.1992391026578844,1.4178347466513517,1.5141925909556448,1.5141948503442109,1.2468279330059886,1.2468099617399275,11.210413206368685,11.18270117789507
0.0001,0.001,8,64,50,0.001,1.1408049948513508,1.184408683795482,1.1797517081722615,1.2700557364150882,1.234648514073342,1.1593352686613798,1.1638544164597988,1.2185538276098669,1.2234261156991124,11.282676994800568,11.09054585173726
0.0001,0.0001,10,128,70,0.0001,1.1412194748409092,1.183498397935182,1.1894206018187106,1.1861115461215377,1.8103099670261145,1.6650051954202354,1.665014703758061,1.100192320998758,1.1001918208785355,11.150207035243511,11.172846984118223
0.0,0.0001,5,64,70,0.0001,1.1415037652477622,1.1838927855715156,1.184084893669933,1.1571695734746754,1.526388166937977,1.6126368967816234,1.612636735197157,1.0977428667247295,1.0977432341314852,1.115592201706022,1.1167394602671266
