weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp,val_loss_hard_comp_mlp
0.0,0.0001,6,4096,30,0.001,,,,,,,,,,111.89252511778874
0.0001,0.0001,10,1024,50,0.001,,,,,,,,,,158.10268276840893
0.0,0.001,8,2048,30,0.0001,,,,,,,,,,116.53531641034938
0.0,0.001,5,2048,70,0.0001,,,,,,,,,,122.06621454722845
0.0001,0.0001,6,2048,70,0.0001,,,,,,,,,,161.29989578474814
0.0,0.001,6,256,70,0.0001,,,,,,,,,,110.60897929632841
0.0,0.0001,5,256,50,0.0001,,,,,,,,,,111.29704176489986
0.0,0.0001,6,256,50,0.001,,,,,,,,,,110.0874446470346
0.0001,0.001,6,64,70,0.001,,,,,,,,,,194.05706388558914
0.0,0.0001,10,512,30,0.0001,,,,,,,,,,123.50186897391704
0.0001,0.0001,6,128,30,0.0001,,,,,,,,,,183.00203807318388
0.0,0.001,5,256,50,0.0001,,,,,,,,,,111.03131126289937
0.0001,0.001,10,1024,30,0.0001,,,,,,,,,,213.06696592871822
0.0,0.001,10,1024,50,0.0001,,,,,,,,,,118.00699604091359
0.0,0.0001,6,8192,50,0.001,,,,,,,,,,106.36178418059848
0.0,0.001,5,2048,70,0.001,,,,,,,,,,118.33840316089231
0.0,0.001,10,2048,70,0.0001,,,,,,,,,,109.20404195073826
0.0,0.001,10,1024,30,0.0001,,,,,,,,,,129.04297091355966
0.0001,0.0001,5,8192,50,0.001,,,,,,,,,,156.6854002084305
0.0001,0.0001,10,64,50,0.001,,,,,,,,,,229.15463256835938
0.0001,0.0001,6,256,30,0.001,,,,,,,,,,170.13900790997405
0.0,0.0001,8,8192,70,0.001,,,,,,,,,,109.12530733934089
0.0,0.0001,10,128,70,0.001,,,,,,,,,,127.98359435351927
0.0,0.001,10,1024,30,0.001,,,,,,,,,,159.7648630853909
0.0,0.0001,5,64,30,0.0001,,,,,,,,,,139.27469657784079
0.0,0.001,5,256,50,0.0001,,,,,,,,,,122.6567791611401
0.0001,0.001,10,4096,50,0.001,,,,,,,,,,207.12960906526936
0.0001,0.001,6,64,30,0.001,,,,,,,,,,218.90849122004724
0.0,0.0001,8,128,70,0.001,,,,,,,,,,119.71486179864229
0.0001,0.001,8,128,50,0.001,,,,,,,,,,190.532086500481
0.0,0.0001,8,512,70,0.0001,,,,,,,,,,105.98224901797167
0.0001,0.0001,5,4096,50,0.001,,,,,,,,,,152.7118254704262
0.0,0.0001,5,512,70,0.001,,,,,,,,,,102.90505207118703
0.0001,0.0001,5,4096,50,0.001,,,,,,,,,,161.58514404296875
0.0001,0.0001,5,8192,30,0.0001,,,,,,,,,,166.5661827201274
0.0001,0.0001,8,64,70,0.0001,,,,,,,,,,197.0875055113835
0.0001,0.0001,6,4096,30,0.0001,,,,,,,,,,155.95784076292122
0.0001,0.0001,5,512,30,0.001,,,,,,,,,,164.13471153600892
0.0,0.0001,6,2048,30,0.0001,,,,,,,,,,126.82679236113135
0.0,0.0001,10,2048,70,0.001,,,,,,,,,,134.57238006591797
0.0,0.001,5,2048,50,0.001,,,,,,,,,,113.9396924260837
0.0,0.001,6,128,50,0.0001,,,,,,,,,,117.15666380924965
0.0001,0.0001,6,8192,70,0.001,,,,,,,,,,176.79475368670563
0.0,0.001,8,512,70,0.0001,,,,,,,,,,126.996049738642
0.0001,0.001,10,2048,50,0.001,,,,,,,,,,203.77515206408145
0.0001,0.0001,6,4096,50,0.0001,,,,,,,,,,168.1572557136194
0.0,0.001,10,1024,30,0.0001,,,,,,,,,,122.58010830096345
0.0001,0.001,8,256,30,0.0001,,,,,,,,,,210.5065886084713
0.0001,0.001,10,256,70,0.0001,,,,,,,,,,187.48898383752623
0.0,0.001,6,256,30,0.001,,,,,,,,,,114.60065221074802
0.0001,0.001,10,1024,30,0.001,,,,,,,,,,203.1156159585981
0.0001,0.001,5,8192,30,0.0001,,,,,,,,,,199.5915656018613
0.0001,0.001,10,128,50,0.001,,,,,,,,,,184.34637587817747
0.0,0.001,10,128,50,0.001,,,,,,,,,,118.66391856634795
0.0001,0.001,5,512,70,0.001,,,,,,,,,,180.99768544666802
0.0,0.0001,8,512,70,0.001,,,,,,,,,,119.16102850615088
0.0,0.001,8,256,50,0.001,,,,,,,,,,121.79589496441741
