weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp,val_loss_hard_bitwise_minmax_mlp,val_loss_hard_bitwise_quantile_mlp
0.0001,0.0001,6,256,50,0.001,0.4819102372441973,0.5160070927370162,0.5036644353753045,0.5106506986277444,0.5663983154864538,0.5919396706989833,0.5928366411299932,0.4942013223965962,0.497274386031287,0.5251095110461825,0.4606957932313283
0.0,0.0001,3,2048,30,0.0001,0.4841878414154053,0.5256670571508861,0.4994356859297979,0.5311173016116733,0.6023330702668145,0.6540815333525339,0.6540815901188624,0.5021961799689701,0.5022131176221938,0.48591246065639315,0.4450022961412157
0.0001,0.001,5,2048,30,0.001,0.4877621545678093,0.5143355301448277,0.4946074343862988,0.6447261202903021,1.044871253626687,0.5733175731840587,0.5732843492712293,0.550488449278332,0.5511175422441392,0.6281170688924336,0.5782687564690908
0.0001,0.001,6,4096,70,0.001,0.4912330621764773,0.5600140648228782,0.5133576095104218,0.4911177286079952,0.5966552978470212,0.5797880022298723,0.5819206209409804,0.4590767182054974,0.4591234156063625,0.614807087750662,0.6585348475547064
0.0,0.001,3,1024,30,0.0001,0.4932368695735931,0.5393208350454058,0.5113343667416346,0.5180129749434335,0.5663527860527947,0.5583823976062593,0.5583847179299309,0.5105006567069462,0.5104373537358784,0.5804699602581206,0.5503032391979581
0.0,0.0001,5,256,70,0.001,0.4937883090405237,0.5260014448847089,0.5024010638395945,0.5050247339975267,0.5348163190342131,0.587105549517132,0.5885541808037531,0.5325539097899482,0.537892685050056,0.4745762277217138,0.4884289276032221
0.0,0.001,6,128,30,0.0001,0.4948865345546177,0.5183637724036262,0.508663705417088,0.540097964661462,0.5898738673755101,0.5295585876419431,0.5296114158062708,0.5166957903475988,0.5166956356593541,0.4903611484028044,0.46297322852270945
0.0,0.001,3,4096,70,0.001,0.49497832712673,0.5528236641770318,0.512584768590473,0.5051915077936082,0.6413298320202601,0.5783303450970423,0.578892890896116,0.5145858554613023,0.5149650616305215,0.5285685885520208,0.46823828844797044
0.0001,0.0001,3,512,70,0.001,0.4953104981354305,0.5464921579474494,0.5064613549482255,0.5260741142999559,0.6190554826032548,0.5892746278217861,0.5890394718874068,0.5109942441894895,0.5148874038741702,0.5245733615897951,0.5202125495388394
0.0,0.0001,6,128,70,0.001,0.4961882503259749,0.5273602051394326,0.5127770716235751,0.5105190419015431,0.5446916875385103,0.5736969241074154,0.5746809102240062,0.5103861774717059,0.5122091755980537,0.4980906957671756,0.4573419860431126
