weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp,val_loss_hard_comp_mlp
0.0,0.001,10,128,30,0.0001,,,,,,,,,,0.5379255882331303
0.0,0.0001,5,4096,50,0.0001,,,,,,,,,,0.5403250541005816
0.0001,0.001,8,128,50,0.001,,,,,,,,,,0.5664329543000176
0.0,0.001,5,256,50,0.0001,,,,,,,,,,0.5786972301346915
0.0,0.0001,6,512,70,0.0001,,,,,,,,,,0.5701479911804199
0.0001,0.001,8,64,70,0.001,,,,,,,,,,0.5776103408563704
0.0,0.0001,5,64,70,0.001,,,,,,,,,,0.48828184604644775
0.0001,0.0001,5,2048,70,0.001,,,,,,,,,,0.5927317667575109
0.0,0.001,8,2048,50,0.0001,,,,,,,,,,0.5506856313773564
0.0001,0.0001,5,1024,70,0.0001,,,,,,,,,,0.7559665342171987
0.0001,0.001,5,128,50,0.0001,,,,,,,,,,0.6002538686706906
0.0001,0.001,5,8192,50,0.001,,,,,,,,,,0.586373242593947
0.0,0.001,10,64,30,0.001,,,,,,,,,,0.5061261057853699
0.0,0.0001,5,64,70,0.0001,,,,,,,,,,0.47704948981602985
0.0001,0.0001,8,1024,50,0.0001,,,,,,,,,,0.5838034706456321
0.0,0.0001,5,64,70,0.0001,,,,,,,,,,0.4799847446736835
0.0,0.001,8,128,50,0.001,,,,,,,,,,0.5419909528323582
0.0,0.001,10,128,70,0.001,,,,,,,,,,0.596705341622943
0.0001,0.0001,6,2048,50,0.0001,,,,,,,,,,0.574370394150416
0.0001,0.001,6,256,50,0.001,,,,,,,,,,0.5967709124088287
0.0,0.0001,6,1024,30,0.0001,,,,,,,,,,0.50591489530745
0.0,0.001,10,8192,50,0.001,,,,,,,,,,0.587868203719457
0.0,0.0001,10,64,30,0.001,,,,,,,,,,0.5623394009612855
0.0001,0.0001,8,256,50,0.0001,,,,,,,,,,0.5015852692581358
0.0,0.001,6,512,50,0.0001,,,,,,,,,,0.6065807101272401
0.0,0.001,10,8192,50,0.001,,,,,,,,,,0.5485145080657232
0.0001,0.001,10,64,30,0.001,,,,,,,,,,0.6142418114911943
0.0001,0.0001,10,1024,70,0.001,,,,,,,,,,0.68175208568573
0.0,0.0001,8,128,50,0.001,,,,,,,,,,0.4788808042094821
0.0001,0.001,5,256,50,0.001,,,,,,,,,,0.6982829173405966
0.0001,0.001,6,2048,50,0.001,,,,,,,,,,0.5946187107335954
0.0,0.001,5,256,50,0.001,,,,,,,,,,0.5481763255028498
0.0001,0.001,8,256,50,0.0001,,,,,,,,,,0.5942115102495465
0.0,0.001,8,2048,70,0.001,,,,,,,,,,0.6796371326560066
0.0,0.0001,10,1024,70,0.0001,,,,,,,,,,0.5258733133474985
0.0,0.001,5,2048,70,0.0001,,,,,,,,,,0.5853368129049029
0.0,0.0001,6,256,30,0.001,,,,,,,,,,0.4779480042911711
0.0,0.0001,8,256,70,0.001,,,,,,,,,,0.5005671949613661
0.0,0.001,5,512,30,0.0001,,,,,,,,,,0.540391933350336
0.0,0.001,5,256,50,0.0001,,,,,,,,,,0.5609099354062762
0.0001,0.001,5,512,70,0.0001,,,,,,,,,,0.6499895964350019
0.0001,0.0001,6,2048,70,0.001,,,,,,,,,,0.6335696478684744
0.0,0.001,10,8192,50,0.001,,,,,,,,,,0.5243050413472312
0.0001,0.001,8,4096,70,0.0001,,,,,,,,,,0.7517815714790708
0.0001,0.0001,5,256,50,0.001,,,,,,,,,,0.5363028021085829
0.0001,0.0001,6,1024,30,0.001,,,,,,,,,,0.5855940112045833
