weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp
0.0001,0.0001,10,512,50,0.001,0.43805179993311566,0.4352067155497415,0.4386166036128998,0.43644541927746366,0.6977074827466693,0.6538813426381066,0.6546784781274342,0.43174206500961665,0.4317536126999628
0.0,0.0001,5,1024,30,0.0001,0.4385390281677246,0.4363341884953635,0.4362023302486965,0.501350896699088,0.6555647183032263,0.6608692762397584,0.6608713680789584,0.44994122641427176,0.449958032085782
0.0001,0.0001,8,256,70,0.0001,0.44391578293982004,0.44150295285951524,0.44343020518620807,0.454449196656545,0.6055461991400946,0.6004351703893571,0.6004546795572553,0.4643609268324716,0.46434024402073454
0.0,0.0001,5,256,70,0.001,0.4440156533604577,0.4428426736877078,0.4397557789371127,0.4354373060521625,0.630166402884892,0.5694298446178436,0.5706893248217446,0.46654234187943594,0.4667216113635472
0.0001,0.0001,5,128,70,0.0001,0.44540542364120483,0.44410903184186845,0.44521373936108183,0.45769329156194416,0.6176929743517012,0.760791349978674,0.7607715796856653,0.4498207554930732,0.4495201948143187
0.0001,0.001,5,64,50,0.0001,0.4471980688117799,0.44579742068336126,0.4477895526658921,0.46547738427207586,0.5600647046452477,0.5073901641936529,0.5073929684502738,0.46852071370397297,0.4685029032684508
0.0,0.0001,8,128,70,0.0001,0.44760145530814216,0.4463456528527396,0.4463656757559095,0.43055619654201327,0.5924131061349597,0.5849948355129787,0.5849784257866087,0.44641490777333576,0.4464255202384222
0.0,0.001,8,512,50,0.0001,0.44881329508054824,0.44689234097798664,0.45126078526179,0.48629968365033466,0.49515061435245333,0.5613945154916673,0.5613382515453157,0.47170237274396987,0.47174503263973055
0.0,0.0001,8,4096,30,0.0001,0.4488684960774013,0.44717914717538015,0.45349188645680744,0.43966263390722726,0.7888763234728858,0.9711418237004962,0.9711445683524722,0.47045513561793734,0.4704893245583489
0.0001,0.0001,6,256,50,0.001,0.4501885175704956,0.4484810091200329,0.4517737016791389,0.44444597902752103,0.6397389244465601,0.6021238153889066,0.6018074268386477,0.4688754975795746,0.46892090496562777
