hyperparameter_setting_id,kFold_id,bits,weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_FP,val_loss_Po-MQ,val_loss_Po-QQ,val_loss_Pr-MQ,val_loss_Pr-QQ,val_loss_SQ,val_loss_SQplus,val_loss_Bw-MQ,val_loss_Bw-QQ,val_loss_Bw-SQ,val_loss_LLT9,val_loss_LLT4,val_loss_LSQ,test_loss_FP,test_loss_Po-MQ,test_loss_Po-QQ,test_loss_Pr-MQ,test_loss_Pr-QQ,test_loss_SQ,test_loss_SQplus,test_loss_Bw-MQ,test_loss_Bw-QQ,test_loss_Bw-SQ,test_loss_LLT9,test_loss_LLT4,test_loss_LSQ,train_loss_FP,train_loss_Pr-MQ,train_loss_Pr-QQ,train_loss_SQ,train_loss_SQplus,train_loss_Bw-MQ,train_loss_Bw-QQ,train_loss_Bw-SQ,train_loss_LLT9,train_loss_LLT4,train_loss_LSQ,time_FP,time_Pr-MQ,time_SQ,time_SQplus,time_Bw-MQ,time_Bw-SQ,time_LLT9,time_LLT4,time_LSQ,val_loss_SQ_train,test_loss_SQ_train,val_loss_SQplus_train,test_loss_SQplus_train,val_loss_LLT9_train,test_loss_LLT9_train,val_loss_LLT4_train,test_loss_LLT4_train,val_loss_Bw-SQ_train,test_loss_Bw-SQ_train
0,0,5,0.001,0.0001,6,512,50,0.0001,0.3699464906345714,0.9080883452499454,0.3752318146553906,0.4437184713103554,0.351771281524138,0.3334628194570541,0.3297416053035042,0.429025723175569,0.3878353156826712,0.3534241264516657,,,0.3829300430687991,0.3255664080381393,0.7924946025013924,0.340994668006897,0.3882184743881225,0.3136750340461731,0.2862957194447517,0.2958469986915588,1.002301263809204,0.9984195709228516,0.3168489933013916,,,0.3430301338434219,0.3153355708045344,0.4086938836882191,0.3094834560348141,0.2904224304422255,0.2694210674493543,0.2744771569005905,0.3867133182864035,0.151806533817322,,,0.3530443089623605,5.169531781226397,5.375974856317043,5.94274440035224,5.376311935484409,5.452085115015507,5.267073884606361,,,5.353338144719601,0.3340028009631417,0.2865258783102035,0.3295876383781433,0.2958580732345581,,,,,0.3533354482867501,0.317210841178894
0,1,5,0.001,0.0001,6,512,50,0.0001,0.350400144403631,0.9108200157907876,0.3629296747120944,0.4283144582401622,0.3475581597198139,0.3343686393716119,0.3110322518782182,0.4072884145108136,0.3940273171121424,0.3430872017687017,,,0.3643716546622189,0.298498198390007,0.825379490852356,0.3283783853054046,0.3635745286941528,0.3063622653484344,0.2784554243087768,0.2464964866638183,1.0028074383735657,0.9999120354652404,0.1472006231546402,,,0.3157304465770721,0.3107330443397645,0.4040193259716034,0.3120641218077752,0.2826809762947021,0.2693051878483065,0.2717842411610388,0.3780341292581251,0.1660265588471966,,,0.3414689840808991,5.203497346490622,5.1479553915560246,5.778496790677309,5.37893582880497,5.09174756705761,5.313918340951204,,,5.389754623174667,0.3328538997606797,0.2758181005716323,0.3109308156100186,0.2464213281869888,,,,,0.3429027579047463,0.1471705317497253
0,2,5,0.001,0.0001,6,512,50,0.0001,0.3262636079029603,0.89814743577418,0.3327581814744256,0.4096217358654195,0.3319199762561104,0.3184926374392076,0.3098127151077444,0.3937492655082182,0.3660299039699815,0.3278843381188132,,,0.3548144224015149,0.2750680565834045,0.7980740487575531,0.3014365524053574,0.3672500982880592,0.3065517127513885,0.2635126769542694,0.2403447717428207,1.0017248034477233,0.9995030641555788,0.0971127144992351,,,0.3006087198853492,0.3094888776540756,0.4214648085255776,0.3225154059548532,0.2873295598453091,0.2716627495904122,0.2642604526012174,0.3936671095509683,0.1410008745808755,,,0.3480912350839184,4.800721328705549,5.1414943262934685,5.706937059760094,5.390662092715502,5.117376439273357,5.064847972244024,,,5.486919112503529,0.3139174431562423,0.2522211372852325,0.3096863031387329,0.240205842256546,,,,,0.3275966102426702,0.0970493696630001
0,3,5,0.001,0.0001,6,512,50,0.0001,0.4000316831198605,0.913463606075807,0.4042921147563241,0.4932079179720445,0.4104196239601482,0.3975681513547897,0.3730588094754652,0.4601734280586242,0.4203301871364767,0.3871711898933757,,,0.4155832203951748,0.2761845648288726,0.7999891430139542,0.295103707909584,0.362073840200901,0.2952601104974747,0.2781752705574035,0.264346233010292,0.9991709351539612,1.0000749111175538,0.1508025661110878,,,0.31615050137043,0.3035667057960264,0.4120548963546753,0.3028721189306628,0.2780248018041734,0.2633511486553376,0.2538683688448321,0.3839509439083837,0.1514943213232102,,,0.3441158706142056,4.815535463392735,5.153886456042528,6.021445274353027,5.320848662406206,5.114949274808168,5.074247967451811,,,5.239955469965935,0.3948317224329168,0.2788834422826767,0.3729755011471835,0.2642940998077392,,,,,0.3871729428117925,0.150127974152565
1,0,5,0.0001,0.0001,8,64,70,0.0001,0.3822248659350655,0.8242445264688947,0.3851776393977078,0.4655390598557212,0.3706499243324453,0.3707896335558457,0.3237802887504751,0.424215858632868,0.3842737783085216,0.3222224007953297,,,0.3931109851056879,0.3339690059423447,0.7179406195878982,0.3419197916984558,0.4078109174966812,0.3355737835168838,0.3228915274143219,0.2939126670360565,1.0090418696403505,1.0040997743606568,0.3099222898483276,,,0.3658191680908203,0.3591804437098964,0.4458703715955057,0.36215932042368,0.326733220969477,0.2921480459551657,0.36832016033511,0.415443149305159,0.2636252319620502,,,0.3780344993837418,7.290015898644924,7.667227726429701,8.4460767544806,8.147598788142204,7.665531989187002,7.5576937682926655,,,7.857522923499346,0.3671945143829692,0.322914169728756,0.3235526640306819,0.2935686826705933,,,,,0.3226638355038382,0.3097547173500061
1,1,5,0.0001,0.0001,8,64,70,0.0001,0.3657244972207329,0.8414799168028615,0.37187983231111,0.4502144157886505,0.3804310695691542,0.3879199082201177,0.3190706995400515,0.4271421283483505,0.3743883032690395,0.3298543122681704,,,0.3803459297526966,0.3168735921382904,0.7382809117436409,0.324671596288681,0.4103236645460129,0.3308050721883774,0.3379923105239868,0.2800543934106826,1.0067087173461915,1.0023401141166688,0.2657746642827988,,,0.3425888419151306,0.3601340488080055,0.457108203441866,0.3698216542120903,0.3158987539429818,0.2916001682319948,0.3760441070602786,0.4137757170584894,0.2608952733778184,,,0.3809846053200383,7.195127982646227,7.749206721782684,8.432729676365852,7.908021237701178,7.758160822093487,7.708203759044409,,,7.617275379598141,0.3449951207095926,0.2674908936023712,0.3190144300460815,0.2802816122770309,,,,,0.3300436531955545,0.2656045705080032
1,2,5,0.0001,0.0001,8,64,70,0.0001,0.3668023090470921,0.8666656369512732,0.3691302117976275,0.4277618622237986,0.3579381663690913,0.3536178320646286,0.3126966546882282,0.3968819244341416,0.374492731961337,0.3055483468554236,,,0.3738138648596676,0.3151856675744057,0.748489123955369,0.3259901776909828,0.3914329499006271,0.3122447222471237,0.3113328740000725,0.2729351431131362,1.0025497198104858,1.0000120162963868,0.2149339273571968,,,0.339200846850872,0.3723945886858048,0.4467583712070219,0.3652576756092809,0.3207219896777983,0.289714592118417,0.3817652425458354,0.4236659532593143,0.2569917382732514,,,0.3814482275516756,7.286056354641914,7.812205217778683,8.526022031903267,8.004267275333405,7.52963237836957,7.633826516568661,,,7.797172039747238,0.3293424397706985,0.2796514496207237,0.3129368045113303,0.2729916244745254,,,,,0.3057749190113761,0.21489287763834
1,3,5,0.0001,0.0001,8,64,70,0.0001,0.4228483709422024,1.0024244577031245,0.4308767047795382,0.4905917278744958,0.4294419207356192,0.3981041325764222,0.3625515442002903,0.4512171447277069,0.431332219730724,0.3826399472626773,,,0.4360666193745353,0.3169035479426384,0.9136452227830888,0.3236687302589416,0.3779180444777011,0.3193024933338165,0.2926098123192787,0.264646828174591,1.0203659772872924,1.0059375166893003,0.2415781408548355,,,0.3354948982596397,0.3555469791735372,0.4412999441546778,0.3451794568569429,0.3092111978800066,0.2813874242767211,0.3565518740684755,0.4162923241815259,0.2526787394477475,,,0.3715726858185184,7.595825988799334,7.811155524104834,8.380002837628126,8.006922855973244,7.518898565322161,7.638696830719709,,,7.727639693766832,0.3878586292266845,0.2749124720692634,0.3624633455818349,0.2646554350852966,,,,,0.3827993517572229,0.2412369549274444
2,0,5,0.0001,0.0001,10,32,30,0.001,0.4322550432248549,0.6841281882741235,0.4363280886953527,0.999897615476088,0.4549678780815818,0.4206974831494418,0.3864542977376418,0.4613633291287856,0.4178009791807694,0.3865200552073392,,,0.4748196005821228,0.3785326331853866,0.610240238904953,0.3784078747034073,0.9999645352363586,0.3936660379171371,0.3510251551866531,0.3294448345899582,1.010680949687958,0.9998486518859864,0.3453783452510833,,,0.4183268725872039,0.4265947947579045,1.000015635644236,0.4456506890635336,0.3935404900581606,0.3723918199539184,0.4208005176436517,0.4658564732920739,0.3844534197161274,,,0.4757117033004761,3.2703703828155994,3.546360772103071,3.810136742889881,3.543010585010052,3.537084646522999,3.3529364094138145,,,3.5146222189068794,0.4097973379221829,0.3369972333312034,0.3857802179726687,0.3288917481899261,,,,,0.3859691159291701,0.3449569225311279
2,1,5,0.0001,0.0001,10,32,30,0.001,0.4017200469970703,0.5869199890982021,0.4098749485882846,0.4831026223572818,0.4345562837340615,0.4287709864703091,0.3786111799153415,0.4343814755027944,0.410502401265231,0.397394136949019,,,0.4689050777391954,0.3693563848733902,0.5361416578292847,0.3718867123126984,0.4410524815320968,0.3899144291877746,0.3751559287309646,0.3262268811464309,1.0078408479690553,1.0225887894630432,0.3417635262012481,,,0.4328449726104736,0.418952420834572,0.5052967802170785,0.4466553147762052,0.4259146432722768,0.376500065288236,0.425456634452266,0.4549563555948196,0.3889603547511562,,,0.4877719542672557,3.430808745324612,3.464777398854494,3.820014864206314,3.614721860736609,3.3791655637323856,3.514514483511448,,,3.517145808786154,0.4215998703783208,0.3636676251888275,0.3774635927243666,0.3258482575416564,,,,,0.3969773406332189,0.3426088690757751
