dataset,hyperparameter_setting_id,bits,weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,method,min
california,19,2,0.0001,0.001,8,2048,50,0.0001,FP,0.3365311137428789
california,37,2,0.0001,0.0001,5,8192,30,0.0001,Po-MQ,1.2750963947989724
california,13,2,0.0001,0.0001,5,64,30,0.0001,Po-QQ,0.618694229559465
california,18,2,0.0,0.001,5,128,70,0.0001,Pr-MQ,0.7419049767833767
california,33,2,0.0001,0.001,5,4096,70,0.0001,Pr-QQ,0.4780898598276756
california,37,2,0.0001,0.0001,5,8192,30,0.0001,Bw-MQ,0.6039622780048486
california,4,2,0.0,0.0001,8,64,50,0.0001,Bw-QQ,0.4774781827165773
california,41,2,0.0,0.0001,8,256,30,0.001,SQ,0.4106601559754573
california,14,2,0.0,0.0001,6,128,30,0.001,Bw-SQ,0.4140382500167822
california,35,3,0.0001,0.001,8,1024,70,0.0001,FP,0.342014874182077
california,25,3,0.0,0.0001,8,128,30,0.0001,Po-MQ,0.797288475174344
california,2,3,0.0,0.0001,5,64,50,0.0001,Po-QQ,0.4994644002226943
california,26,3,0.0001,0.001,5,256,50,0.0001,Pr-MQ,0.5516646998398231
california,14,3,0.0001,0.0001,5,128,50,0.0001,Pr-QQ,0.4227511355145411
california,44,3,0.0001,0.0001,5,512,30,0.0001,Bw-MQ,0.5403858284381303
california,15,3,0.0,0.0001,8,64,50,0.001,Bw-QQ,0.4168257902376354
california,4,3,0.0001,0.0001,5,64,70,0.001,SQ,0.3635928444507898
california,22,3,0.0,0.001,8,4096,30,0.001,Bw-SQ,0.3624665818290051
california,17,4,0.0001,0.001,10,128,30,0.0001,FP,0.3410509608347307
california,37,4,0.0,0.0001,10,64,30,0.0001,Po-MQ,0.8733588025749972
california,46,4,0.0001,0.001,5,64,30,0.001,Po-QQ,0.3921750424683771
california,8,4,0.0001,0.001,5,512,50,0.001,Pr-MQ,0.4841328491788413
california,46,4,0.0001,0.001,5,64,30,0.001,Pr-QQ,0.3960126175799153
california,49,4,0.0001,0.0001,6,256,30,0.001,Bw-MQ,0.4592833998471949
california,37,4,0.0,0.0001,10,64,30,0.0001,Bw-QQ,0.3625514324528701
california,46,4,0.0001,0.001,5,64,30,0.001,SQ,0.3433012410998344
california,16,4,0.0001,0.0001,5,64,50,0.001,Bw-SQ,0.3270953867767909
california,8,5,0.0001,0.001,10,2048,50,0.001,FP,0.3399166495849688
california,39,5,0.0001,0.0001,10,4096,30,0.001,Po-MQ,0.8479521964623762
california,8,5,0.0001,0.001,10,2048,50,0.001,Po-QQ,0.3518460871538881
california,21,5,0.0001,0.001,8,512,50,0.001,Pr-MQ,0.4265847817825323
california,3,5,0.0001,0.001,10,64,30,0.0001,Pr-QQ,0.3936143292960795
california,0,5,0.0,0.001,5,64,50,0.0001,Bw-MQ,0.4220689408509342
california,26,5,0.0,0.0001,5,64,30,0.0001,Bw-QQ,0.3282574618404562
california,18,5,0.0001,0.001,5,2048,70,0.001,SQ,0.337996235455979
california,26,5,0.0,0.0001,5,64,30,0.0001,Bw-SQ,0.3209462947409712
california,36,6,0.0001,0.001,10,1024,70,0.001,FP,0.3380602835984477
california,28,6,0.0001,0.001,5,8192,50,0.0001,Po-MQ,0.8482968959900917
california,36,6,0.0001,0.001,10,1024,70,0.001,Po-QQ,0.3435877699186235
california,6,6,0.0001,0.0001,6,8192,50,0.001,Pr-MQ,0.4228624758113063
california,42,6,0.0001,0.001,8,2048,70,0.001,Pr-QQ,0.3914756226268681
california,17,6,0.0,0.0001,5,64,70,0.001,Bw-MQ,0.3988183002100524
california,15,6,0.0,0.0001,5,64,30,0.001,Bw-QQ,0.3166702184713247
california,22,6,0.0001,0.001,10,2048,50,0.0001,SQ,0.3413711030544205
california,2,6,0.0001,0.0001,5,128,30,0.0001,Bw-SQ,0.3150435272096233
california,30,7,0.0001,0.001,5,2048,50,0.001,FP,0.3386224957690997
california,17,7,0.0001,0.001,6,8192,70,0.001,Po-MQ,0.8305496739865648
california,30,7,0.0001,0.001,5,2048,50,0.001,Po-QQ,0.3422695336129629
california,28,7,0.0001,0.001,5,1024,50,0.0001,Pr-MQ,0.4022983365833307
california,35,7,0.0001,0.0001,8,2048,30,0.001,Pr-QQ,0.3932132452839251
california,18,7,0.0,0.0001,6,64,50,0.001,Bw-MQ,0.3584979831664399
california,18,7,0.0,0.0001,6,64,50,0.001,Bw-QQ,0.324741505875224
california,38,7,0.0,0.001,8,256,30,0.001,SQ,0.3405359040494218
california,18,7,0.0,0.0001,6,64,50,0.001,Bw-SQ,0.3150575147645378
california,39,8,0.0,0.001,10,512,30,0.001,FP,0.3411396319096004
california,31,8,0.0001,0.0001,5,4096,30,0.001,Po-MQ,0.564128334142945
california,39,8,0.0,0.001,10,512,30,0.001,Po-QQ,0.3418545214656853
california,33,8,0.0001,0.0001,5,256,50,0.001,Pr-MQ,0.3700848887603955
california,23,8,0.0,0.001,6,1024,50,0.001,Pr-QQ,0.4015039965284593
california,37,8,0.0,0.0001,6,64,50,0.001,Bw-MQ,0.3211211800801031
california,39,8,0.0,0.001,10,512,30,0.001,Bw-QQ,0.3219012990029471
california,22,8,0.0,0.001,10,512,50,0.0001,SQ,0.3428798880625628
california,10,8,0.0001,0.0001,6,64,30,0.0001,Bw-SQ,0.3154392932061896
cpu_act,12,2,0.0001,0.001,5,1024,70,0.0001,FP,0.0173558868969288
cpu_act,21,2,0.0001,0.0001,8,1024,30,0.001,Po-MQ,0.136719587445259
cpu_act,48,2,0.0,0.0001,6,64,30,0.0001,Po-QQ,0.8738262804654928
cpu_act,10,2,0.0001,0.0001,10,1024,70,0.0001,Pr-MQ,0.0411483641140735
cpu_act,37,2,0.0001,0.0001,5,128,50,0.0001,Pr-QQ,0.1489561837166547
cpu_act,24,2,0.0001,0.001,5,1024,50,0.0001,Bw-MQ,0.0297863830740634
cpu_act,41,2,0.0001,0.0001,10,512,30,0.0001,Bw-QQ,0.0447181360366252
cpu_act,2,2,0.0001,0.001,6,128,70,0.001,SQ,0.0254658161304317
cpu_act,14,2,0.0,0.001,10,64,70,0.0001,Bw-SQ,0.0270130681948592
cpu_act,36,3,0.0001,0.001,8,256,70,0.0001,FP,0.0175633742330738
cpu_act,15,3,0.0001,0.001,6,512,30,0.001,Po-MQ,0.0510366003530529
cpu_act,23,3,0.0001,0.001,10,2048,30,0.0001,Po-QQ,0.8419079116903818
