hyperparameter_setting_id,bits,Full precision,Post minmaxQ,Post quantileQ,Pre minmaxQ,Pre quantileQ,SoftQ,HardQ,Bitwise softQ,Bitwise hardQ,dataset
0,3,,,,,0.01962759230988454,,,,,NewFuelCar
0,4,,,,,0.012778520413363931,,,,,NewFuelCar
0,5,,,,,0.00587725254723373,,,,,NewFuelCar
0,6,,,,,0.00872726179250886,,,,,NewFuelCar
0,7,,,,,0.00577051137888537,,,,,NewFuelCar
0,8,,,,,0.00919370044435352,,,,,NewFuelCar
1,3,,,,,0.020383091265204913,,,,,NewFuelCar
1,4,,,,,0.00884178679175016,,,,,NewFuelCar
1,5,,,,,0.00615863470532191,,,,,NewFuelCar
1,6,,,,,0.01124034887404389,,,,,NewFuelCar
1,7,,,,,0.011042308151362451,,,,,NewFuelCar
1,8,,,,,0.00790734362171697,,,,,NewFuelCar
2,3,,,,,0.02055343820615421,,,,,NewFuelCar
2,4,,,,,0.01017482217621837,,,,,NewFuelCar
2,5,,,,,0.0070353620434424405,,,,,NewFuelCar
2,6,,,,,0.0059488457923738206,,,,,NewFuelCar
2,8,,,,,0.00779567429522178,,,,,NewFuelCar
3,3,,,,,0.02030084233061128,,,,,NewFuelCar
3,4,,,,,0.12050182361670425,,,,,NewFuelCar
3,5,,,,,0.00652864748068769,,,,,NewFuelCar
3,6,,,,,0.011374447124871259,,,,,NewFuelCar
3,7,,,,,0.00485630018765249,,,,,NewFuelCar
3,8,,,,,0.00814715492612629,,,,,NewFuelCar
4,3,,,,,0.0205663401707026,,,,,NewFuelCar
4,4,,,,,0.01106302242587201,,,,,NewFuelCar
4,5,,,,,0.009117640714210059,,,,,NewFuelCar
4,6,,,,,0.00613216592944548,,,,,NewFuelCar
4,7,,,,,0.00559781178394982,,,,,NewFuelCar
4,8,,,,,0.00899518739530126,,,,,NewFuelCar
5,3,,,,,0.0212998868668811,,,,,NewFuelCar
5,4,,,,,0.01183318755703794,,,,,NewFuelCar
5,5,,,,,0.00701122740058942,,,,,NewFuelCar
5,6,,,,,0.01209817249307469,,,,,NewFuelCar
5,7,,,,,0.00870942177206045,,,,,NewFuelCar
5,8,,,,,0.02096647481503483,,,,,NewFuelCar
6,3,,,,,0.02177053334011707,,,,,NewFuelCar
6,4,,,,,0.01514869972230177,,,,,NewFuelCar
6,5,,,,,0.00718041206342408,,,,,NewFuelCar
6,6,,,,,0.01068234495908474,,,,,NewFuelCar
6,7,,,,,9.46223981709203,,,,,NewFuelCar
6,8,,,,,0.00981187328549195,,,,,NewFuelCar
7,3,,,,,0.01992690567041562,,,,,NewFuelCar
7,4,,,,,0.00953525342292294,,,,,NewFuelCar
7,5,,,,,0.006348143389097201,,,,,NewFuelCar
7,6,,,,,0.00577805835433022,,,,,NewFuelCar
7,7,,,,,0.00797938289541519,,,,,NewFuelCar
7,8,,,,,0.0043514143342658195,,,,,NewFuelCar
8,3,,,,,0.02358321284532151,,,,,NewFuelCar
8,4,,,,,0.00935343199801676,,,,,NewFuelCar
8,5,,,,,0.00628313942661243,,,,,NewFuelCar
8,6,,,,,0.0096593267698935,,,,,NewFuelCar
8,7,,,,,0.00515381410930366,,,,,NewFuelCar
8,8,,,,,0.00507788864718009,,,,,NewFuelCar
9,3,,,,,0.02245203284955203,,,,,NewFuelCar
9,4,,,,,0.00988165155510625,,,,,NewFuelCar
9,5,,,,,0.00630252240552447,,,,,NewFuelCar
9,6,,,,,0.00787144535866543,,,,,NewFuelCar
9,7,,,,,0.00824468049768092,,,,,NewFuelCar
9,8,,,,,0.00571910610632851,,,,,NewFuelCar
10,3,,,,,0.02357328118544001,,,,,NewFuelCar
10,4,,,,,0.01001899636293381,,,,,NewFuelCar
10,5,,,,,0.00604875854098052,,,,,NewFuelCar
10,6,,,,,0.012956414125418531,,,,,NewFuelCar
10,7,,,,,0.00449842163126731,,,,,NewFuelCar
