hyperparameter_setting_id,bits,FP,Po-MQ,Po-QQ,Pr-MQ,Pr-QQ,Bw-MQ,Bw-QQ,SQ,Bw-SQ,dataset
0,2,0.09719036329222619,0.5612208450760912,0.30481286116547,0.1374232279081993,0.10274405889144603,0.14537463141810694,0.09540812540867853,0.10079284455791548,0.09875434428069957,superconduct
0,3,0.0970099630176692,0.23300001296926945,0.16813234461416654,0.11416158730520261,0.11956699168282173,0.1313698621699586,0.09795140221386267,0.10007594383444962,0.09678866549888074,superconduct
0,4,0.15815825950189985,0.19644939814118995,0.14148053476203445,0.13866036072551433,0.14862298855886735,0.1344907710465657,0.12334793269949249,0.12204423834816276,0.11325815883328147,superconduct
0,5,0.095570340267766,0.11986962131443704,0.13176474330179827,0.0972713356488384,0.09254506534335254,0.10057310195201456,0.09129325958492696,0.08851405021063433,0.09467477968907638,superconduct
0,6,0.08211940982214663,0.0864909858545562,0.09052296809523416,0.083551557595595,0.0837693517651025,0.10007174354293107,0.08371440458132005,0.08256837205673727,0.08685389664982826,superconduct
0,7,0.08321410142782358,0.08465401609976057,0.0939999155422864,0.08459517704802288,0.08380832574604184,0.1320501549655626,0.14672053155475565,0.08382394445156124,0.0884498041725772,superconduct
0,8,0.10494505100376787,0.10519250737133376,0.11295477089280367,0.11384034457835639,0.13711912983014957,0.11720156815923362,0.10535236401004056,0.11983318703029959,0.11420707678326456,superconduct
1,2,0.1484321180169525,0.8149744426379637,0.45545111109831315,0.16328457629390275,0.14376783848411454,0.1896056592245312,0.1928371347569148,0.14027235373197228,0.1336067929754362,superconduct
1,3,0.09723895593162842,0.2336519051548641,0.17447757756830576,0.10676589481162779,0.10909183540189744,0.12467947916148281,0.09571619484820125,0.1059437250554123,0.097555223056663,superconduct
1,4,0.08870316063505866,0.13188049131388063,0.14002408019321802,0.09504071789697796,0.09157654978745779,0.13529429522562114,0.14155760314075877,0.08978343378916816,0.08578409485703822,superconduct
1,5,0.09248545781147717,0.11518305014435419,0.11847533748471446,0.09292363777126675,0.09148799129213914,0.13045201194746525,0.14494273496230184,0.09179871231591435,0.09217195930096372,superconduct
1,6,0.10664617235032729,0.11453211830572822,0.1383107721641221,0.11106194421402449,0.10305827537291297,0.14126123483703634,0.15405696033883617,0.09701957079746262,0.0996702616294736,superconduct
