weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,hyperparameter_setting_id,kFold_id,Full precision,Post minmaxQ,Post quantileQ,Pre minmaxQ,Pre quantileQ,SoftQ,HardQ,Bitwise softQ,Bitwise hardQ,val_loss_hard_bitwise_minmax_mlp,val_loss_hard_bitwise_quantile_mlp,Train full precision,Train pre minmaxQ,Train pre quantileQ,Train SoftQ,Train Bitwise softQ,train_loss_hard_bitwise_minmax_mlp,train_loss_hard_bitwise_quantile_mlp,bits,dataset,Full precision_avg,Post minmaxQ_avg,Post quantileQ_avg,Pre minmaxQ_avg,Pre quantileQ_avg,SoftQ_avg,HardQ_avg,Bitwise softQ_avg,Bitwise hardQ_avg,Full precision_min,Post minmaxQ_min,Post quantileQ_min,Pre minmaxQ_min,Pre quantileQ_min,SoftQ_min,HardQ_min,Bitwise softQ_min,Bitwise hardQ_min,Full precision_avg_by_hyperparam,Post minmaxQ_avg_by_hyperparam,Post quantileQ_avg_by_hyperparam,Pre minmaxQ_avg_by_hyperparam,Pre quantileQ_avg_by_hyperparam,SoftQ_avg_by_hyperparam,HardQ_avg_by_hyperparam,Bitwise softQ_avg_by_hyperparam,Bitwise hardQ_avg_by_hyperparam,Full precision_min_by_hyperparam,Post minmaxQ_min_by_hyperparam,Post quantileQ_min_by_hyperparam,Pre minmaxQ_min_by_hyperparam,Pre quantileQ_min_by_hyperparam,SoftQ_min_by_hyperparam,HardQ_min_by_hyperparam,Bitwise softQ_min_by_hyperparam,Bitwise hardQ_min_by_hyperparam
0.0001,0.0001,6,1024,30,0.001,31,0,,,,,0.0050468771890001,,,,,,,,,0.0047910769349055,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00626983659652367,,,,,,,,,0.0050468771890001,,,,
0.0001,0.0001,6,1024,30,0.001,31,1,,,,,0.0064294015224859,,,,,,,,,0.005097729331065,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00626983659652367,,,,,,,,,0.0050468771890001,,,,
0.0001,0.0001,6,1024,30,0.001,31,2,,,,,0.0058141742228415,,,,,,,,,0.0052641433029088,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00626983659652367,,,,,,,,,0.0050468771890001,,,,
0.0001,0.0001,6,1024,30,0.001,31,3,,,,,0.0083325713129485,,,,,,,,,0.0048960846079531,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00626983659652367,,,,,,,,,0.0050468771890001,,,,
0.0001,0.0001,6,1024,30,0.001,31,4,,,,,0.0056810551282149,,,,,,,,,0.0052751092523263,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00626983659652367,,,,,,,,,0.0050468771890001,,,,
0.0001,0.0001,6,1024,30,0.001,31,5,,,,,0.0056280558867576,,,,,,,,,0.0045405684902981,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00626983659652367,,,,,,,,,0.0050468771890001,,,,
0.0001,0.0001,6,1024,30,0.001,31,6,,,,,0.0068522244303797,,,,,,,,,0.0047465119595347,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00626983659652367,,,,,,,,,0.0050468771890001,,,,
0.0001,0.0001,6,1024,30,0.001,31,7,,,,,0.0055422043231757,,,,,,,,,0.0049303104064664,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00626983659652367,,,,,,,,,0.0050468771890001,,,,
0.0001,0.0001,6,1024,30,0.001,31,8,,,,,0.0077235964208579,,,,,,,,,0.0047088514844539,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00626983659652367,,,,,,,,,0.0050468771890001,,,,
0.0001,0.0001,6,1024,30,0.001,31,9,,,,,0.0056482055285749,,,,,,,,,0.0047619331061986,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00626983659652367,,,,,,,,,0.0050468771890001,,,,
0.0,0.001,10,4096,30,0.0001,32,0,,,,,0.022279189262343,,,,,,,,,0.007680591141837,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.01356150804071174,,,,,,,,,0.0064982994451399,,,,
0.0,0.001,10,4096,30,0.0001,32,1,,,,,0.0074574306031296,,,,,,,,,0.0080279504031162,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.01356150804071174,,,,,,,,,0.0064982994451399,,,,
0.0,0.001,10,4096,30,0.0001,32,2,,,,,0.0194921013980842,,,,,,,,,0.0143709841613456,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.01356150804071174,,,,,,,,,0.0064982994451399,,,,
0.0,0.001,10,4096,30,0.0001,32,3,,,,,0.0099850276019424,,,,,,,,,0.0092870421671107,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.01356150804071174,,,,,,,,,0.0064982994451399,,,,
0.0,0.001,10,4096,30,0.0001,32,4,,,,,0.0068090247549933,,,,,,,,,0.0071349115783175,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.01356150804071174,,,,,,,,,0.0064982994451399,,,,
0.0,0.001,10,4096,30,0.0001,32,5,,,,,0.0167456111674638,,,,,,,,,0.0110280808390063,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.01356150804071174,,,,,,,,,0.0064982994451399,,,,
0.0,0.001,10,4096,30,0.0001,32,6,,,,,0.0064982994451399,,,,,,,,,0.0072792851473387,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.01356150804071174,,,,,,,,,0.0064982994451399,,,,
0.0,0.001,10,4096,30,0.0001,32,7,,,,,0.0082490979938914,,,,,,,,,0.0085965390538559,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.01356150804071174,,,,,,,,,0.0064982994451399,,,,
0.0,0.001,10,4096,30,0.0001,32,8,,,,,0.0100487159940887,,,,,,,,,0.0095511745218662,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.01356150804071174,,,,,,,,,0.0064982994451399,,,,
0.0,0.001,10,4096,30,0.0001,32,9,,,,,0.0280505821860411,,,,,,,,,0.019665254234318,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.01356150804071174,,,,,,,,,0.0064982994451399,,,,
0.0,0.0001,6,8192,70,0.0001,33,0,,,,,0.0075663753229667,,,,,,,,,0.0022880660076671,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00533863567918731,,,,,,,,,0.0041604474709745,,,,
0.0,0.0001,6,8192,70,0.0001,33,1,,,,,0.0050235639669393,,,,,,,,,0.0022478063995995,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00533863567918731,,,,,,,,,0.0041604474709745,,,,
0.0,0.0001,6,8192,70,0.0001,33,2,,,,,0.0045590291653449,,,,,,,,,0.0020948402098535,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00533863567918731,,,,,,,,,0.0041604474709745,,,,
0.0,0.0001,6,8192,70,0.0001,33,3,,,,,0.0041604474709745,,,,,,,,,0.0021563956078014,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00533863567918731,,,,,,,,,0.0041604474709745,,,,
0.0,0.0001,6,8192,70,0.0001,33,4,,,,,0.0053485982679647,,,,,,,,,0.0022901250844976,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00533863567918731,,,,,,,,,0.0041604474709745,,,,
0.0,0.0001,6,8192,70,0.0001,33,5,,,,,0.0044398194581286,,,,,,,,,0.0022644842997668,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00533863567918731,,,,,,,,,0.0041604474709745,,,,
0.0,0.0001,6,8192,70,0.0001,33,6,,,,,0.0046751793145136,,,,,,,,,0.0022276294391428,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00533863567918731,,,,,,,,,0.0041604474709745,,,,
0.0,0.0001,6,8192,70,0.0001,33,7,,,,,0.0045715910709348,,,,,,,,,0.0022235198275131,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00533863567918731,,,,,,,,,0.0041604474709745,,,,
0.0,0.0001,6,8192,70,0.0001,33,8,,,,,0.0065627108785536,,,,,,,,,0.0022498702806164,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00533863567918731,,,,,,,,,0.0041604474709745,,,,
0.0,0.0001,6,8192,70,0.0001,33,9,,,,,0.0064790418755524,,,,,,,,,0.0022553080111952,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00533863567918731,,,,,,,,,0.0041604474709745,,,,
0.0,0.0001,10,128,50,0.001,34,0,,,,,0.0074647808643548,,,,,,,,,0.0031009763755433,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00520247268039125,,,,,,,,,0.0036015333893725,,,,
0.0,0.0001,10,128,50,0.001,34,1,,,,,0.0044759596113867,,,,,,,,,0.0034335951106257,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00520247268039125,,,,,,,,,0.0036015333893725,,,,
0.0,0.0001,10,128,50,0.001,34,2,,,,,0.0038062391573922,,,,,,,,,0.0035622432777731,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00520247268039125,,,,,,,,,0.0036015333893725,,,,
0.0,0.0001,10,128,50,0.001,34,3,,,,,0.0044035560159388,,,,,,,,,0.0031686927046964,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00520247268039125,,,,,,,,,0.0036015333893725,,,,
0.0,0.0001,10,128,50,0.001,34,4,,,,,0.0036015333893725,,,,,,,,,0.003618407823538,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00520247268039125,,,,,,,,,0.0036015333893725,,,,
0.0,0.0001,10,128,50,0.001,34,5,,,,,0.0059283274622111,,,,,,,,,0.0032694069415276,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00520247268039125,,,,,,,,,0.0036015333893725,,,,
0.0,0.0001,10,128,50,0.001,34,6,,,,,0.0055909386607246,,,,,,,,,0.0035908915263408,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00520247268039125,,,,,,,,,0.0036015333893725,,,,
0.0,0.0001,10,128,50,0.001,34,7,,,,,0.0053984631678056,,,,,,,,,0.0037005054956192,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00520247268039125,,,,,,,,,0.0036015333893725,,,,
0.0,0.0001,10,128,50,0.001,34,8,,,,,0.0070795248907974,,,,,,,,,0.0035137044859356,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00520247268039125,,,,,,,,,0.0036015333893725,,,,
0.0,0.0001,10,128,50,0.001,34,9,,,,,0.0042754035839288,,,,,,,,,0.0034300619503483,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00520247268039125,,,,,,,,,0.0036015333893725,,,,
0.0001,0.001,10,256,30,0.0001,35,0,,,,,0.0096400210168212,,,,,,,,,0.0066439314521666,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00787029774316269,,,,,,,,,0.0052231937532492,,,,
0.0001,0.001,10,256,30,0.0001,35,1,,,,,0.0059649572593339,,,,,,,,,0.006802611158905,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00787029774316269,,,,,,,,,0.0052231937532492,,,,
0.0001,0.001,10,256,30,0.0001,35,2,,,,,0.0052231937532492,,,,,,,,,0.0069356718155391,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00787029774316269,,,,,,,,,0.0052231937532492,,,,
0.0001,0.001,10,256,30,0.0001,35,3,,,,,0.0069782746702497,,,,,,,,,0.007377040469745,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00787029774316269,,,,,,,,,0.0052231937532492,,,,
0.0001,0.001,10,256,30,0.0001,35,4,,,,,0.0061284939497055,,,,,,,,,0.0070760312775496,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00787029774316269,,,,,,,,,0.0052231937532492,,,,
0.0001,0.001,10,256,30,0.0001,35,5,,,,,0.0087647601357546,,,,,,,,,0.0067402346890565,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00787029774316269,,,,,,,,,0.0052231937532492,,,,
0.0001,0.001,10,256,30,0.0001,35,6,,,,,0.0065596231500405,,,,,,,,,0.0065600476236831,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00787029774316269,,,,,,,,,0.0052231937532492,,,,
0.0001,0.001,10,256,30,0.0001,35,7,,,,,0.0119121343085313,,,,,,,,,0.0072343538606575,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00787029774316269,,,,,,,,,0.0052231937532492,,,,
0.0001,0.001,10,256,30,0.0001,35,8,,,,,0.0094006549722204,,,,,,,,,0.0072238311646323,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00787029774316269,,,,,,,,,0.0052231937532492,,,,
0.0001,0.001,10,256,30,0.0001,35,9,,,,,0.0081308642157206,,,,,,,,,0.0071627091022902,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00787029774316269,,,,,,,,,0.0052231937532492,,,,
0.0001,0.0001,5,512,30,0.001,36,0,,,,,0.0063678461715186,,,,,,,,,0.0051506727550397,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00756949446584794,,,,,,,,,0.0060872269728988,,,,
0.0001,0.0001,5,512,30,0.001,36,1,,,,,0.009102230912009,,,,,,,,,0.0054166496131003,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00756949446584794,,,,,,,,,0.0060872269728988,,,,
0.0001,0.0001,5,512,30,0.001,36,2,,,,,0.0094977133588767,,,,,,,,,0.0055343225308438,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00756949446584794,,,,,,,,,0.0060872269728988,,,,
0.0001,0.0001,5,512,30,0.001,36,3,,,,,0.0067847935429757,,,,,,,,,0.0051367047726742,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00756949446584794,,,,,,,,,0.0060872269728988,,,,
0.0001,0.0001,5,512,30,0.001,36,4,,,,,0.0063157304876336,,,,,,,,,0.0051458747614649,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00756949446584794,,,,,,,,,0.0060872269728988,,,,
0.0001,0.0001,5,512,30,0.001,36,5,,,,,0.0060979301363164,,,,,,,,,0.005359081193969,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00756949446584794,,,,,,,,,0.0060872269728988,,,,
0.0001,0.0001,5,512,30,0.001,36,6,,,,,0.0113887724450282,,,,,,,,,0.0052346140762571,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00756949446584794,,,,,,,,,0.0060872269728988,,,,
0.0001,0.0001,5,512,30,0.001,36,7,,,,,0.0060872269728988,,,,,,,,,0.0052584849076582,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00756949446584794,,,,,,,,,0.0060872269728988,,,,
0.0001,0.0001,5,512,30,0.001,36,8,,,,,0.0070156902360746,,,,,,,,,0.0053218424726533,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00756949446584794,,,,,,,,,0.0060872269728988,,,,
0.0001,0.0001,5,512,30,0.001,36,9,,,,,0.0070370103951478,,,,,,,,,0.0055548873611305,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00756949446584794,,,,,,,,,0.0060872269728988,,,,
0.0001,0.001,10,4096,70,0.0001,37,0,,,,,0.008382956191015,,,,,,,,,0.0073512937590552,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.014092911552972712,,,,,,,,,0.0073838417516335,,,,
0.0001,0.001,10,4096,70,0.0001,37,1,,,,,0.0073838417516335,,,,,,,,,0.0072676754125174,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.014092911552972712,,,,,,,,,0.0073838417516335,,,,
0.0001,0.001,10,4096,70,0.0001,37,2,,,,,0.0181717743378197,,,,,,,,,0.0066194341244066,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.014092911552972712,,,,,,,,,0.0073838417516335,,,,
0.0001,0.001,10,4096,70,0.0001,37,3,,,,,0.0097814923552632,,,,,,,,,0.0084210078642867,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.014092911552972712,,,,,,,,,0.0073838417516335,,,,
0.0001,0.001,10,4096,70,0.0001,37,4,,,,,0.0074983235211683,,,,,,,,,0.0075887368852729,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.014092911552972712,,,,,,,,,0.0073838417516335,,,,
0.0001,0.001,10,4096,70,0.0001,37,5,,,,,0.0090130464798819,,,,,,,,,0.0060310088257834,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.014092911552972712,,,,,,,,,0.0073838417516335,,,,
0.0001,0.001,10,4096,70,0.0001,37,6,,,,,0.0133017303846907,,,,,,,,,0.0070626647200198,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.014092911552972712,,,,,,,,,0.0073838417516335,,,,
0.0001,0.001,10,4096,70,0.0001,37,7,,,,,0.0119170459649084,,,,,,,,,0.0067594218738924,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.014092911552972712,,,,,,,,,0.0073838417516335,,,,
0.0001,0.001,10,4096,70,0.0001,37,8,,,,,0.0478190206187336,,,,,,,,,0.0091149957686224,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.014092911552972712,,,,,,,,,0.0073838417516335,,,,
0.0001,0.001,10,4096,70,0.0001,37,9,,,,,0.0076598839246128,,,,,,,,,0.0079666234096329,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.014092911552972712,,,,,,,,,0.0073838417516335,,,,
0.0001,0.0001,8,64,50,0.001,38,0,,,,,0.0050382445210983,,,,,,,,,0.0049810238022758,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.0061539899510853905,,,,,,,,,0.0050382445210983,,,,
0.0001,0.0001,8,64,50,0.001,38,1,,,,,0.006116977641604,,,,,,,,,0.0052588817161307,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.0061539899510853905,,,,,,,,,0.0050382445210983,,,,
0.0001,0.0001,8,64,50,0.001,38,2,,,,,0.0057834905915354,,,,,,,,,0.0055303374761898,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.0061539899510853905,,,,,,,,,0.0050382445210983,,,,
0.0001,0.0001,8,64,50,0.001,38,3,,,,,0.0050938913165673,,,,,,,,,0.0045092620891427,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.0061539899510853905,,,,,,,,,0.0050382445210983,,,,
0.0001,0.0001,8,64,50,0.001,38,4,,,,,0.0054444559183984,,,,,,,,,0.0048442883111134,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.0061539899510853905,,,,,,,,,0.0050382445210983,,,,
0.0001,0.0001,8,64,50,0.001,38,5,,,,,0.0055288551885863,,,,,,,,,0.00507264798256,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.0061539899510853905,,,,,,,,,0.0050382445210983,,,,
0.0001,0.0001,8,64,50,0.001,38,6,,,,,0.006779417309812,,,,,,,,,0.005232811286388,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.0061539899510853905,,,,,,,,,0.0050382445210983,,,,
0.0001,0.0001,8,64,50,0.001,38,7,,,,,0.0061317178575942,,,,,,,,,0.0058025656847794,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.0061539899510853905,,,,,,,,,0.0050382445210983,,,,
0.0001,0.0001,8,64,50,0.001,38,8,,,,,0.0086385424559315,,,,,,,,,0.0043257877420104,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.0061539899510853905,,,,,,,,,0.0050382445210983,,,,
0.0001,0.0001,8,64,50,0.001,38,9,,,,,0.0069843067097265,,,,,,,,,0.0051264915181616,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.0061539899510853905,,,,,,,,,0.0050382445210983,,,,
0.0,0.001,8,8192,50,0.001,39,0,,,,,0.0186063869807281,,,,,,,,,0.0093052830264045,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.10842819775805985,,,,,,,,,0.0084405703012619,,,,
0.0,0.001,8,8192,50,0.001,39,1,,,,,0.0124647829011736,,,,,,,,,0.0112345276866108,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.10842819775805985,,,,,,,,,0.0084405703012619,,,,
0.0,0.001,8,8192,50,0.001,39,2,,,,,0.0139459923579635,,,,,,,,,0.0107713456238236,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.10842819775805985,,,,,,,,,0.0084405703012619,,,,
0.0,0.001,8,8192,50,0.001,39,3,,,,,0.0084764248887567,,,,,,,,,0.0088409632083722,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.10842819775805985,,,,,,,,,0.0084405703012619,,,,
0.0,0.001,8,8192,50,0.001,39,4,,,,,0.970986984800874,,,,,,,,,1.0012196861061395,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.10842819775805985,,,,,,,,,0.0084405703012619,,,,
0.0,0.001,8,8192,50,0.001,39,5,,,,,0.0084405703012619,,,,,,,,,0.0101118902862985,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.10842819775805985,,,,,,,,,0.0084405703012619,,,,
0.0,0.001,8,8192,50,0.001,39,6,,,,,0.0093675739532173,,,,,,,,,0.0077565852653089,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.10842819775805985,,,,,,,,,0.0084405703012619,,,,
0.0,0.001,8,8192,50,0.001,39,7,,,,,0.0152332974565133,,,,,,,,,0.0128160411921128,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.10842819775805985,,,,,,,,,0.0084405703012619,,,,
0.0,0.001,8,8192,50,0.001,39,8,,,,,0.0098808538005278,,,,,,,,,0.0092489272077549,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.10842819775805985,,,,,,,,,0.0084405703012619,,,,
0.0,0.001,8,8192,50,0.001,39,9,,,,,0.0168791101395822,,,,,,,,,0.0151956099377689,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.10842819775805985,,,,,,,,,0.0084405703012619,,,,
0.0,0.0001,10,8192,30,0.0001,40,0,,,,,0.0059875846195051,,,,,,,,,0.0047878800030779,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00778446252071784,,,,,,,,,0.0051970958501394,,,,
0.0,0.0001,10,8192,30,0.0001,40,1,,,,,0.0114241664649167,,,,,,,,,0.0049908342342093,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00778446252071784,,,,,,,,,0.0051970958501394,,,,
0.0,0.0001,10,8192,30,0.0001,40,2,,,,,0.0067684267802784,,,,,,,,,0.0049561389347574,,,,,6,NewFuelCar,,,,,0.01050523286420038,,,,,,,,,0.0033697045444952,,,,,,,,,0.00778446252071784,,,,,,,,,0.0051970958501394,,,,
