hyperparameter_setting_id,bits,FP,Po-MQ,Po-QQ,Pr-MQ,Pr-QQ,Bw-MQ,Bw-QQ,SQ,Bw-SQ,dataset
0,2,0.0819886956117389,0.4683737413245527,0.2466147471602787,0.1239412212607396,0.091517711907406,0.1288581610492923,0.0840324296972111,0.0881880360367872,0.0869399997515275,superconduct
0,3,0.0839761984123684,0.2041059101466089,0.1493680796805112,0.1010318128939937,0.0933989187538185,0.1057324139606755,0.0864433584844364,0.0849917733713108,0.0871657212401795,superconduct
0,4,0.0960081810241236,0.1270513268571128,0.1065262612777159,0.1099997400854002,0.1137072351377676,0.1097378326333401,0.096029627328629,0.1015145866035976,0.0928599238669609,superconduct
0,5,0.0856870183419874,0.105830118909259,0.1094812411568401,0.0853342001655084,0.08015813305974,0.0911335947868578,0.0781356359503286,0.0794072559390984,0.0775085669421755,superconduct
0,6,0.0747987876187407,0.0812118632842184,0.0845978502115673,0.0730722216848174,0.072676425703856,0.0807123765321996,0.0702343487167073,0.0739258878782172,0.0754483049283461,superconduct
0,7,0.0778605731149368,0.0795439676491215,0.0854842775391743,0.0702851841856232,0.0680703424903399,0.1193401002434685,0.1340064462959109,0.0736502234152901,0.0805360736352775,superconduct
0,8,0.0917456952361937,0.0921784920672721,0.0951252417803248,0.0994950230507289,0.1086081892306752,0.1002310355577398,0.081060247735449,0.1056473852436551,0.0916214348296361,superconduct
1,2,0.1286573790232925,0.6231300424346152,0.3439705647144686,0.1466363039799034,0.1259679778972093,0.1569086480885744,0.1622904589783181,0.1266259726356057,0.1154499668354059,superconduct
1,3,0.08603607516681,0.2029610754757681,0.1436324280084056,0.0937862745623159,0.0892770893817,0.1097426852896152,0.0845973410451894,0.0950123952318202,0.0856278536375612,superconduct
1,4,0.0805153699304141,0.1092025029938668,0.1096944337546387,0.0893258838845855,0.0775811053702936,0.1201275786220589,0.124894454726018,0.0800052929724402,0.077545446665574,superconduct
1,5,0.0812022219110718,0.1025372854543521,0.0982599550967707,0.0818580363959293,0.084238381796133,0.1169284850578097,0.1247051745543585,0.0760638746775358,0.0765660108368405,superconduct
1,6,0.0977043700267506,0.1057062894516788,0.1217035366468789,0.0993813216302763,0.0834525437710587,0.1241303113535704,0.1258998804397004,0.0847791608916047,0.0828543211990857,superconduct
1,7,0.0942506522200453,0.0941600314724971,0.1050209898008581,0.0897895854158217,0.0882189325604806,0.1199235786300371,0.1264527774525477,0.0853396651937681,0.0831722322960986,superconduct
1,8,0.0813163307988468,0.0819511645240709,0.086254279827699,0.0766263651962885,0.0760554612395079,0.0832885607515516,0.0747384719605393,0.0723748984883594,0.0693190878613249,superconduct
2,2,0.0995388989583315,0.4370838891002623,0.2353272794143242,0.1291115017991294,0.0987062928513349,0.1327400307636708,0.087530286729281,0.0988281838294556,0.0884159566040205,superconduct
2,3,0.0787955275873708,0.2222886108108522,0.1381543999510433,0.093947801985504,0.0811659705564927,0.1110926732722231,0.1353369050056618,0.0814900255816824,0.0749604504637639,superconduct
2,4,0.0840761592433623,0.1284818670520668,0.1024549179710447,0.0882522320539197,0.0895352007903377,0.0997559371513917,0.0813995874692302,0.0896410902496427,0.0847649208667195,superconduct
2,5,0.0811689226915512,0.0980424756348571,0.0988039752050741,0.0828542931498411,0.0807901823427528,0.1076605618410908,0.1172152301022673,0.0766709064927828,0.0786363795974894,superconduct
2,6,0.0927053165129002,0.0972858759136322,0.1049322869135614,0.0947464557008489,0.0950869680656229,0.1507264033836477,0.1558691744062611,0.0919504254535936,0.1070591382517972,superconduct
2,7,0.0921861398554242,0.0928060112329309,0.0957571705118479,0.1043920709532411,0.1004051799776361,0.1625823876135708,0.1561908507993554,0.1075624430360382,0.1141698736807002,superconduct
2,8,0.0751321829773266,0.0753474546979893,0.0863327413852162,0.0758966560413896,0.0740844728562104,0.0824966694824123,0.0749355560606893,0.0732353185817106,0.0773363250910359,superconduct
3,2,0.0954448237248203,0.4165000372621066,0.2159741570734802,0.1274945610887645,0.101283177952556,0.1434199760174926,0.1501199038808836,0.1004843408625353,0.0938798933947349,superconduct
3,3,0.0931412678841939,0.2200355908614309,0.1650146685047623,0.1054182108765577,0.1077843226547188,0.1407395270516109,0.1376987236058887,0.1004604158566936,0.0918021746911108,superconduct
3,4,0.077136932653101,0.1254930973792558,0.1108075736145324,0.0844364667598925,0.0719228423378594,0.0854985486195587,0.0745569760089411,0.0757017670993638,0.0779688376933336,superconduct
3,5,0.0829843765343813,0.1011871623340994,0.0935550965505706,0.085595570381402,0.0854537345825091,0.1099686977343962,0.1115953086957554,0.0830926478922586,0.0825297276434652,superconduct
