weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp
0.0001,0.0001,10,8192,70,0.0001,108.85000223188258,187.35694048297938,207.60985542411234,121.08961691785214,110.34373639234856,106.27536978650448,106.24329803239054,112.88363100877449,112.98090026627726
0.0,0.0001,6,4096,70,0.0001,110.91234955858829,159.38026382674033,185.39169078086738,122.33452680217685,114.73471228756122,110.21019426032679,110.40906069171963,119.66937418126348,119.57958941673165
0.0001,0.0001,6,4096,70,0.0001,111.22388076782227,159.16110072918792,180.66154508448358,134.72825656720062,116.57892995805882,106.28227820325253,106.37889833592656,107.92552546600797,108.01174405795425
0.0001,0.0001,5,4096,70,0.001,112.49056622519421,160.90211919528335,209.3678012677093,120.66799750256894,120.04803617676693,111.75740279012652,112.06333006673785,113.23641125123892,113.24037153329422
0.0,0.0001,5,4096,70,0.0001,113.96858494317354,166.92366352365977,167.8669593867971,124.70527768490919,113.63360373653583,108.48908222255422,108.48379693102481,106.18439213197622,106.08902455799615
0.0001,0.0001,10,1024,70,0.001,114.4102665915418,164.86207984810446,199.92647518328766,130.1921444223888,119.64267716478946,128.47458062243106,129.03608464483005,120.33028320767987,120.63601163607925
0.0,0.0001,5,4096,50,0.001,114.65754810731802,161.67711357572185,174.03308398688017,141.48260179206505,111.6283322234652,118.60299904666729,118.64126808963604,121.47106250364389,121.68562425072514
0.0001,0.0001,6,2048,70,0.0001,115.76577388706492,168.69360687483604,213.16300520256385,126.73380683785054,116.55418868563068,113.54788677727998,113.69661334023547,105.79221235816158,105.92673646158246
0.0001,0.0001,10,2048,70,0.0001,116.68421286967263,172.42750526542093,178.90801136529268,126.22972565266623,145.99721481550986,115.24389221419149,115.24906272318826,107.03654630860287,107.16928857831813
0.0001,0.0001,5,4096,50,0.001,116.845755164303,168.6568272149385,202.8150211732779,127.27952245456069,131.85761949909266,115.37011280344494,116.30213928222656,111.18352781836666,111.01640894875598
0.0001,0.0001,5,8192,50,0.0001,117.50338562922691,176.8473769515308,201.1667611421044,126.88978252126209,113.77225266641645,120.63653940229274,120.64957257171176,113.7975293629205,113.86595461261807
0.0,0.0001,5,4096,50,0.0001,117.67732028107145,170.82695300543486,193.6163190016106,131.97706917150697,113.62779957500857,112.59175961053194,112.72301745058886,107.6695250610807,107.85136823511836
0.0001,0.0001,6,8192,70,0.001,117.9642911313185,170.4519852026185,164.53128245339465,127.48468700807486,113.16347065256603,104.48090744018555,104.81178636693242,107.91005968691698,108.55679304208329
0.0,0.0001,10,1024,70,0.001,118.04762040323286,173.13841537931071,187.5345976530616,128.37020515328024,129.5101229539558,123.18126792338357,124.36180729652519,109.42467271036176,109.52400133503018
0.0001,0.0001,10,4096,50,0.001,118.21730280634182,171.7580654656709,173.90951452682268,123.67683114578475,116.40356083770297,114.81898447292954,115.89792661524531,117.77967031678158,117.8040808492632
0.0001,0.0001,10,1024,70,0.001,118.517078969016,178.0732568199955,174.59976708711082,132.27310334390668,113.40245340831244,113.06005643019036,113.59238621725964,108.71207228703285,109.45483051129241
0.0,0.0001,10,4096,50,0.001,119.04894894272533,165.64443983960507,176.17620365655245,145.70124298778933,129.17173476717366,111.61320561081615,111.85907705506283,117.40000534057617,117.34805730563491
0.0,0.0001,6,2048,50,0.0001,119.84176618661454,173.6815885287612,187.7948763833117,127.50618322571712,120.84353720252193,117.0324960253132,117.03051280975342,108.98498876770931,108.97552661041715
0.0001,0.0001,10,4096,50,0.0001,120.09681391360155,164.16921763633613,176.62067259603472,133.05912908867225,129.57890581728807,109.73713689775609,109.7771707791001,121.6957081467358,121.66185862982451
0.0001,0.0001,6,1024,70,0.0001,120.1076208655514,179.81342736998602,223.4981494732757,136.43565994945925,119.55072135355935,109.29961366795781,109.39630536890742,126.07635443957884,126.30649633549932
0.0001,0.0001,6,4096,50,0.0001,120.3278062450352,170.91984415766018,201.53355014857962,132.762802750317,118.90418434143066,112.34304069405171,112.45042185996896,113.27733247671554,113.31846618652344
0.0001,0.0001,8,1024,50,0.0001,121.13560537082046,180.6301343263085,217.53922818312003,129.41341371678595,116.66963039227386,121.22412872314453,121.24632155005611,112.48279511750634,112.4538568525172
0.0,0.0001,5,2048,50,0.0001,121.30727975759933,167.96200629846373,215.03171414047924,138.4321314683601,115.2341157144575,114.38590493842737,114.59053976144364,105.86489241870481,105.96591644856467
0.0,0.001,5,1024,70,0.001,121.70317800721126,190.44394587047066,171.10990040337862,130.34752228010947,133.27662345544616,132.78457892118996,133.18800183196566,117.47023300626385,117.77198290469042
0.0001,0.0001,10,4096,50,0.001,122.39685274949714,171.4232615285845,212.1739682439548,125.3577228944693,127.3061966397869,112.84794662247843,113.83980435044018,107.93667118584932,107.94826382309643
0.0001,0.0001,5,2048,50,0.001,122.46409757813412,188.18470271665657,183.3640322329393,128.79946347136996,122.38538857360385,118.58418285312938,118.53132472821136,113.57259795914835,113.7416125909606
0.0,0.0001,8,8192,50,0.001,123.19294977899807,205.82843865921248,277.4087454952411,130.62053788597905,116.56465072062478,132.51191275867063,129.70842500942857,122.9190079418581,122.44887292207177
0.0,0.0001,8,8192,50,0.0001,124.16708408184905,175.41729872973997,210.1427596362669,123.691705276717,116.3034242089115,113.97867766423012,114.03420354359186,109.74135753289977,109.78752432296525
0.0001,0.0001,8,2048,70,0.0001,124.88026718595135,179.29158891136967,191.9892612855826,127.158559884598,109.72697010324963,115.66137863273052,115.77089452031834,108.32265964906607,108.26390138312952
0.0001,0.001,10,1024,70,0.001,125.01921263737465,175.6500699057508,154.28639397692325,132.27158731489038,131.24433207156054,143.5145286446187,144.2137920038024,127.86681371660374,127.73546785383083
0.0,0.001,5,1024,70,0.0001,125.3143539428711,171.87551498413086,161.8331301674914,128.25572512043055,132.2491283701427,131.60833996445385,131.6989005928609,124.29828598250204,124.33340829877712
0.0,0.0001,5,4096,50,0.001,125.40140362639926,176.08148563441947,166.55199648729013,124.90827455093611,127.79262622434702,107.20872494711804,107.4466138241896,109.93509150263088,109.80835880450348
0.0001,0.0001,8,4096,30,0.001,126.52183213874476,169.6307782130455,191.74366418639227,145.52766270424004,145.34345222587015,136.971103639745,136.0817327926408,140.62687147909136,139.70208256280245
0.0,0.001,8,1024,50,0.001,127.76679372075779,199.98770170069452,160.81460232521172,135.63973993329859,146.9486072597219,134.1937021853319,134.30151412736123,126.4970954781148,126.63765078871998
0.0001,0.001,8,1024,50,0.0001,128.24875996717765,189.55442496911803,171.9516226925067,134.26044731709496,139.93790071402023,124.3772973017906,124.38621054122697,126.34941710287066,126.31682865655245
0.0001,0.001,8,4096,70,0.001,128.34953541542168,180.0536214344537,163.63922261480076,142.29990466672982,137.92106124536315,158.45071838151162,158.72692193557967,141.04286740431144,141.4679312065466
0.0001,0.001,6,2048,50,0.001,129.1487011126618,181.46094524326608,167.9849925254708,136.9905419990198,144.57932270106986,130.51837161049914,130.94778670125933,126.64337955304046,127.05120143605701
0.0001,0.0001,8,4096,30,0.0001,129.8042529091906,171.39737937699502,196.70442837387768,148.5484010497136,129.237109483178,148.47071126681655,148.64309145799325,116.4274390775766,116.5395036099562
0.0,0.0001,8,1024,70,0.0001,129.933184438677,166.11160953009306,180.7949284795505,119.48785707843838,115.94133539342168,110.84943455368725,110.95744779216709,108.12659756105337,108.23523131413246
0.0001,0.001,5,2048,70,0.0001,130.03089153232858,170.51286916590448,158.35581201581812,130.73334594271077,130.28964660416787,123.08268424646178,123.1409780587723,130.44018617316857,130.44356986657897
0.0001,0.001,6,4096,50,0.0001,130.5529508448359,177.5323617280419,181.95792189640784,145.51460664663742,155.65805577520115,131.4674700836637,131.53290853927385,133.90588976731942,133.90232849121094
0.0001,0.0001,6,1024,50,0.001,131.14221806312676,181.49406370476112,179.245380230804,128.30935555073754,124.91074012642476,117.68948424040381,120.00264389835186,108.37077784182421,108.49350980502456
0.0,0.0001,8,8192,30,0.001,132.2784429521703,205.28412947014198,239.68004266539617,141.14113372119505,136.40416484092597,128.70522006589974,128.27554344063375,135.48501726406724,137.0605283424036
