weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp,val_loss_hard_comp_mlp
0.0,0.001,8,4096,70,0.0001,,,,,,,,,,122.08997800456943
0.0,0.0001,10,4096,50,0.0001,,,,,,,,,,105.93146344085238
0.0001,0.0001,6,4096,30,0.001,,,,,,,,,,205.66551071850222
0.0001,0.0001,5,128,30,0.0001,,,,,,,,,,195.34570187241283
0.0001,0.001,6,2048,50,0.001,,,,,,,,,,204.10452782929832
0.0,0.001,6,2048,70,0.0001,,,,,,,,,,112.29431533813477
0.0,0.0001,5,64,50,0.0001,,,,,,,,,,126.4963813326252
0.0001,0.0001,5,8192,50,0.0001,,,,,,,,,,153.61350927779924
0.0,0.0001,6,128,30,0.001,,,,,,,,,,125.9367544259598
0.0001,0.0001,10,2048,50,0.0001,,,,,,,,,,151.05169643572907
0.0,0.001,5,1024,70,0.0001,,,,,,,,,,102.13701458831332
0.0001,0.0001,6,256,50,0.0001,,,,,,,,,,169.558553097853
0.0001,0.0001,8,128,50,0.0001,,,,,,,,,,201.94234272971082
0.0,0.001,8,64,50,0.001,,,,,,,,,,109.41616041268875
0.0,0.001,8,1024,50,0.0001,,,,,,,,,,107.46092161491735
0.0,0.001,8,4096,70,0.001,,,,,,,,,,114.03224216290374
0.0001,0.0001,8,2048,70,0.0001,,,,,,,,,,192.62630553743733
0.0001,0.0001,10,4096,50,0.001,,,,,,,,,,154.98567791839145
0.0,0.001,6,128,50,0.001,,,,,,,,,,107.22309266275434
0.0,0.0001,6,2048,50,0.0001,,,,,,,,,,99.56360990609696
0.0001,0.001,6,256,70,0.001,,,,,,,,,,184.8930889528189
0.0001,0.0001,10,512,50,0.001,,,,,,,,,,160.04836831164005
0.0001,0.001,5,512,70,0.001,,,,,,,,,,179.13219406355674
0.0,0.001,5,64,30,0.0001,,,,,,,,,,126.97275497664266
0.0,0.0001,5,1024,30,0.001,,,,,,,,,,114.86830771147315
0.0001,0.0001,6,2048,70,0.001,,,,,,,,,,159.4866700812952
0.0001,0.001,8,2048,70,0.001,,,,,,,,,,185.84802701579991
0.0001,0.001,6,512,50,0.001,,,,,,,,,,206.9988490432056
0.0001,0.001,10,8192,70,0.0001,,,,,,,,,,187.90944022562965
0.0001,0.001,10,64,70,0.001,,,,,,,,,,186.83759023182427
0.0001,0.001,10,64,30,0.001,,,,,,,,,,212.3253139666657
0.0,0.001,5,256,30,0.0001,,,,,,,,,,107.42384605977072
0.0001,0.001,10,2048,70,0.0001,,,,,,,,,,183.4912103681422
0.0,0.0001,10,8192,50,0.001,,,,,,,,,,106.0781730537984
0.0,0.001,6,128,70,0.001,,,,,,,,,,117.56473193951507
0.0001,0.001,8,64,70,0.001,,,,,,,,,,201.08240509033203
0.0001,0.001,6,256,50,0.0001,,,,,,,,,,182.7842074721607
0.0001,0.001,5,64,70,0.0001,,,,,,,,,,188.6806892281148
0.0001,0.0001,6,256,50,0.0001,,,,,,,,,,185.84762800985308
0.0001,0.0001,5,4096,70,0.0001,,,,,,,,,,163.76964284412895
0.0001,0.001,5,64,50,0.001,,,,,,,,,,185.6373207889386
0.0001,0.001,10,64,70,0.001,,,,,,,,,,181.5004222357451
0.0001,0.001,6,4096,70,0.001,,,,,,,,,,183.15957755473121
0.0,0.0001,6,64,50,0.001,,,,,,,,,,135.2783200278211
0.0,0.0001,10,512,30,0.0001,,,,,,,,,,137.02439316706872
0.0,0.0001,10,128,30,0.001,,,,,,,,,,128.60643346985773
0.0,0.001,10,2048,50,0.001,,,,,,,,,,111.13704886365292
0.0,0.001,10,2048,50,0.0001,,,,,,,,,,122.36649965884081
0.0,0.001,8,512,50,0.0001,,,,,,,,,,105.76239184479215
0.0,0.001,5,256,50,0.001,,,,,,,,,,107.73450635084465
0.0001,0.0001,8,512,70,0.0001,,,,,,,,,,179.85252835857335
0.0001,0.0001,8,64,30,0.0001,,,,,,,,,,202.58447242850687
0.0,0.001,10,512,50,0.0001,,,,,,,,,,107.77519647398991
0.0001,0.001,10,512,30,0.0001,,,,,,,,,,188.640177370897
0.0001,0.001,8,2048,30,0.0001,,,,,,,,,,205.13378029438988
0.0001,0.0001,10,256,50,0.001,,,,,,,,,,204.6000573457177
0.0,0.0001,10,64,70,0.0001,,,,,,,,,,125.90327721211447
0.0001,0.001,5,64,70,0.001,,,,,,,,,,190.0949315313083
0.0,0.0001,10,1024,50,0.001,,,,,,,,,,119.26627571903057
0.0001,0.001,6,4096,50,0.0001,,,,,,,,,,186.61246387994112
0.0001,0.001,8,8192,70,0.001,,,,,,,,,,177.80346725236123
0.0,0.0001,10,64,70,0.0001,,,,,,,,,,123.27380724095586
0.0,0.001,8,8192,50,0.001,,,,,,,,,,110.82500901862757
0.0,0.0001,5,128,30,0.0001,,,,,,,,,,130.9299105174506
0.0,0.0001,6,256,30,0.001,,,,,,,,,,111.87308980457819
0.0001,0.001,8,8192,30,0.0001,,,,,,,,,,207.47169528790374
0.0,0.0001,6,512,30,0.0001,,,,,,,,,,104.36526187498178
0.0001,0.0001,10,1024,70,0.0001,,,,,,,,,,161.7596606354215
0.0,0.001,6,256,50,0.0001,,,,,,,,,,105.09507062541904
0.0,0.0001,10,2048,30,0.0001,,,,,,,,,,121.66028999214741
0.0,0.001,5,4096,30,0.0001,,,,,,,,,,112.36272720792401
0.0,0.001,10,512,30,0.001,,,,,,,,,,162.0486700712745
0.0001,0.0001,10,2048,30,0.0001,,,,,,,,,,178.25096175919717
0.0,0.001,8,128,50,0.0001,,,,,,,,,,116.18879204365744
0.0001,0.0001,10,1024,50,0.0001,,,,,,,,,,157.63186611346345
0.0001,0.001,10,8192,30,0.0001,,,,,,,,,,197.5865069716724
0.0,0.001,8,256,70,0.001,,,,,,,,,,104.61171955848808
0.0,0.0001,5,8192,30,0.0001,,,,,,,,,,106.46341044867216
0.0001,0.0001,5,256,50,0.001,,,,,,,,,,161.78670034835588
0.0,0.001,10,256,70,0.001,,,,,,,,,,135.49823692663392
0.0001,0.0001,8,64,50,0.0001,,,,,,,,,,210.04179450647155
0.0001,0.0001,10,1024,30,0.001,,,,,,,,,,146.31715791616867
0.0,0.001,5,2048,30,0.0001,,,,,,,,,,132.7458309913749
0.0001,0.0001,6,8192,30,0.001,,,,,,,,,,144.510882249519
0.0001,0.001,10,4096,30,0.0001,,,,,,,,,,245.91788516827484
0.0001,0.0001,10,8192,70,0.001,,,,,,,,,,165.6679044125685
0.0,0.001,6,128,50,0.001,,,,,,,,,,106.12234115600586
0.0001,0.0001,10,4096,30,0.0001,,,,,,,,,,158.4115756020617
0.0001,0.0001,10,256,70,0.0001,,,,,,,,,,183.57232859597278
0.0,0.001,6,2048,70,0.001,,,,,,,,,,114.19476443618092
0.0,0.0001,10,64,70,0.001,,,,,,,,,,130.93439073704963
0.0,0.001,10,2048,50,0.0001,,,,,,,,,,117.29262537031032
0.0,0.0001,10,1024,50,0.0001,,,,,,,,,,122.55259351588008
0.0001,0.001,8,2048,30,0.001,,,,,,,,,,189.93290061381325
0.0,0.001,10,512,70,0.001,,,,,,,,,,103.03701184400872
0.0,0.0001,6,4096,70,0.001,,,,,,,,,,96.95859761024589
0.0,0.001,5,128,70,0.0001,,,,,,,,,,113.2361929025223
0.0001,0.0001,6,512,50,0.0001,,,,,,,,,,162.73325507320575
0.0001,0.001,8,512,30,0.001,,,,,,,,,,200.1661297243033
0.0001,0.0001,5,1024,50,0.001,,,,,,,,,,162.89596933393335
