hyperparameter_setting_id,kFold_id,bits,weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_FP,val_loss_Po-MQ,val_loss_Po-QQ,val_loss_Pr-MQ,val_loss_Pr-QQ,val_loss_SQ,val_loss_SQplus,val_loss_Bw-MQ,val_loss_Bw-QQ,val_loss_Bw-SQ,val_loss_LLT,val_loss_LSQ,test_loss_FP,test_loss_Po-MQ,test_loss_Po-QQ,test_loss_Pr-MQ,test_loss_Pr-QQ,test_loss_SQ,test_loss_SQplus,test_loss_Bw-MQ,test_loss_Bw-QQ,test_loss_Bw-SQ,test_loss_LLT,test_loss_LSQ,train_loss_FP,train_loss_Pr-MQ,train_loss_Pr-QQ,train_loss_SQ,train_loss_SQplus,train_loss_Bw-MQ,train_loss_Bw-QQ,train_loss_Bw-SQ,train_loss_LLT,train_loss_LSQ,time_FP,time_Pr-MQ,time_SQ,time_SQplus,time_Bw-MQ,time_Bw-SQ,time_LLT,time_LSQ,val_loss_SQ_train,test_loss_SQ_train,val_loss_SQplus_train,test_loss_SQplus_train,val_loss_Bw-SQ_train,test_loss_Bw-SQ_train
0,0,3,0.001,0.0001,5,128,50,0.001,0.573132686316967,0.7472787499427795,0.6315384656190872,0.6299612075090408,0.6338357776403427,0.6219655126333237,0.6258271187543869,0.6386116296052933,0.6154401898384094,0.6155161112546921,,0.6380831152200699,0.4931516498327255,0.6301338970661163,0.5518191456794739,0.5301906317472458,0.5541108548641205,0.5452987253665924,0.5439879447221756,0.8472029864788055,0.8501889705657959,0.5462667047977448,,0.5322529822587967,0.5560320734977722,0.605997896194458,0.5803627580404281,0.5715909987688065,0.5714583098888397,0.5724454462528229,0.6502855956554413,0.5623881876468658,,0.5923617362976075,1.7318702936172485,1.6087890155613422,1.9103498123586178,1.7829952389001846,1.6724680475890636,1.6654978469014168,,1.6550344303250313,0.6220529079437256,0.5453448295593262,0.6256196796894073,0.5436329245567322,0.6139621436595917,0.5443731248378754
0,1,3,0.001,0.0001,5,128,50,0.001,0.5879763141274452,0.7590001374483109,0.6061440333724022,0.644380010664463,0.599274255335331,0.609185978770256,0.6011187434196472,0.6457820981740952,0.6249895915389061,0.6122105196118355,,0.6171495541930199,0.4520552158355713,0.6304230690002441,0.5276627987623215,0.5051379203796387,0.49744103848934174,0.5080323368310928,0.5065378099679947,0.859975278377533,0.8594887554645538,0.48241932690143585,,0.5051680505275726,0.5596149533987045,0.6140952348709107,0.5838012337684632,0.5832960665225982,0.5750261425971985,0.5710261851549149,0.6567910969257355,0.5587282776832581,,0.6042195677757263,1.4460801593959332,1.6595960967242718,1.723907757550478,1.7051637321710587,1.5320892035961151,1.5907833836972713,,1.660112489014864,0.6087535694241524,0.5064881891012192,0.600316122174263,0.5074645578861237,0.6114495694637299,0.4828478693962097
0,2,3,0.001,0.0001,5,128,50,0.001,0.5721533745527267,0.8086616694927216,0.5973877757787704,0.6431732922792435,0.593120627105236,0.6058915704488754,0.5797087103128433,0.6689199507236481,0.5798148661851883,0.6016977727413177,,0.6102288216352463,0.45541873574256897,0.6284686923027039,0.5410780012607574,0.4926801174879074,0.5149136483669281,0.5204338580369949,0.5070956498384476,0.8605750799179077,0.8577388226985931,0.50987908244133,,0.4971099942922592,0.5734593570232391,0.625721687078476,0.5968582570552826,0.6004005968570709,0.5878796398639679,0.5842341005802154,0.6650433719158173,0.5902463614940643,,0.6054564714431763,1.5130328834056854,1.6321288645267487,1.8037418574094772,1.7100889384746552,1.6281252577900887,1.616076186299324,,1.5935088582336903,0.6061253845691681,0.5199407786130905,0.5801008194684982,0.5070266276597977,0.6015002802014351,0.5086368173360825
0,3,3,0.001,0.0001,5,128,50,0.001,0.5892626941204071,0.6909131705760956,0.6001054793596268,0.6364566385746002,0.580956295132637,0.5941145792603493,0.5984641090035439,0.6358941495418549,0.6089352816343307,0.5872816890478134,,0.6155293732881546,0.47227416932582855,0.6074386239051819,0.5422823131084442,0.49767041206359863,0.508049488067627,0.5011898577213287,0.5166043192148209,0.8586666584014893,0.85599285364151,0.5096276253461838,,0.4958004355430603,0.5764628410339355,0.6193235397338868,0.584851348400116,0.5846534788608551,0.5790078818798066,0.565156364440918,0.6606431365013122,0.5714365005493164,,0.607070940732956,1.4928194917738438,1.6726396568119526,1.8063392080366611,1.7663265615701675,1.5898300036787987,1.6436044089496136,,1.71212287992239,0.5940362215042114,0.4995506703853607,0.5981131792068481,0.5159000009298325,0.5868448317050934,0.5089507400989532
1,0,3,0.01,0.001,10,4096,30,0.001,0.9572834670543671,0.9572834670543671,0.9572834670543671,0.9572481364011765,0.9571831375360489,0.9571011960506439,0.9573878198862076,0.9573370814323425,0.9572169482707977,0.9572915136814117,,0.9571295231580734,0.8474385142326355,0.8474385142326355,0.8474385142326355,0.8474219143390656,0.8473917245864868,0.847354382276535,0.8474880158901215,0.8473848402500153,0.8482584655284882,0.847442239522934,,0.8473672270774841,0.9994131028652191,0.9997880101203919,1.0036613404750825,1.0021985709667205,0.9930474042892456,0.9979991674423218,1.0017536401748657,1.007628047466278,,0.9936664879322052,8.289645038545132,8.368452053517103,8.404903758317232,8.365600347518921,8.443802900612354,8.352262798696756,,8.34613298997283,0.9571011960506439,0.847354382276535,0.9573878198862076,0.8474880158901215,0.9572915136814117,0.847442239522934
1,1,3,0.01,0.001,10,4096,30,0.001,0.9741422832012177,0.9741422832012177,0.9741422832012177,0.9743268191814423,0.9744116812944412,0.9741868674755096,0.9742940962314606,0.9743629395961761,0.9743500798940659,0.9742876291275024,,0.9740474671125412,0.86125048995018,0.86125048995018,0.86125048995018,0.8613486289978027,0.8613943755626678,0.8612740337848663,0.8613310754299164,0.8615344762802124,0.8603917062282562,0.8613276481628418,,0.8612006902694702,0.9979399740695953,0.9976166367530823,0.9951608359813691,0.9984197080135345,1.000533002614975,1.0020288467407226,1.0014501571655274,1.0041343867778778,,0.9991914212703705,8.308128088712692,8.374631147831678,8.4056725949049,8.352023608982563,8.36568097025156,8.349128440022469,,8.339494597166777,0.9741868674755096,0.8612740337848663,0.9742940962314606,0.8613310754299164,0.9742876291275024,0.8613276481628418
1,2,3,0.01,0.001,10,4096,30,0.001,0.9791405647993088,0.9791405647993088,0.9791405647993088,0.9790198355913162,0.9791477024555206,0.9791228920221329,0.9792005568742752,0.9792855083942413,0.9792541861534119,0.9790606051683426,,0.9790637046098709,0.8549011647701263,0.8549011647701263,0.8549011647701263,0.8548097014427185,0.8549066185951233,0.8548876941204071,0.8549470603466034,0.8547216355800629,0.8543601632118225,0.8548404276371002,,0.8548428118228912,0.9930748164653778,1.000109189748764,0.9981145560741425,0.9984027802944183,1.0017459630966186,1.0048393487930298,0.9930442869663239,1.0029699385166169,,0.9980068147182465,8.284951563924551,8.363979563117027,8.400472190231085,8.35619967803359,8.354653637856245,8.34066366776824,,8.347190499305725,0.9791228920221329,0.8548876941204071,0.9792005568742752,0.8549470603466034,0.9790606051683426,0.8548404276371002
1,3,3,0.01,0.001,10,4096,30,0.001,0.9078499376773834,0.9078499376773834,0.9078499376773834,0.9077534377574921,0.9078114926815033,0.907716691493988,0.9078178405761719,0.9078405052423477,0.9078076928853989,0.9079380184412003,,0.9078439921140671,0.8557548522949219,0.8557548522949219,0.8557548522949219,0.8558516502380371,0.8557916879653931,0.8558926284313202,0.8557855188846588,0.8568952977657318,0.855489045381546,0.8556780517101288,,0.855760395526886,1.0042437851428985,0.9997681856155396,0.9985987424850464,0.9945757329463959,0.9999323129653931,0.9934293270111084,0.995590764284134,1.0040096938610077,,1.0013303935527802,8.290977075695992,8.358028668910265,8.397729076445103,8.365827891975641,8.348597202450037,8.354268081486225,,8.349461402744055,0.907716691493988,0.8558926284313202,0.9078178405761719,0.8557855188846588,0.9079380184412003,0.8556780517101288
2,0,3,0.0,0.0001,6,8192,70,0.001,0.633196122944355,1.0586428046226501,0.7196537107229233,0.7005914151668549,0.6664740890264511,0.6618323475122452,0.655792772769928,0.6871499270200729,0.5769684314727783,0.6737190634012222,,0.6859685629606247,0.5725705623626709,0.8979209661483765,0.6629694998264313,0.6097694933414459,0.6506004631519318,0.6295102834701538,0.6435828804969788,0.8480610549449921,0.8474753499031067,0.6760407388210297,,0.6018921136856079,0.031572001054883,0.15935294181108475,0.024177711643278598,0.021270674373954534,0.011802309565246106,0.0019002317145350388,0.16848560571670532,0.00892587760463357,,0.03846881315112114,36.5486715734005,36.843475483357906,36.9527379758656,36.863835372030735,36.84572744369507,36.910300333052874,,36.72607833147049,0.6494555771350861,0.631723165512085,0.6506778746843338,0.6408091485500336,0.6596220582723618,0.6426177322864532
2,1,3,0.0,0.0001,6,8192,70,0.001,0.6254884302616119,1.1752424836158752,0.706062838435173,0.7599243819713593,0.6013685837388039,0.666676476597786,0.6656906753778458,0.6968660280108452,0.6122153252363205,0.6117541193962097,,0.6813185513019562,0.015566330403089523,1.0124993920326233,0.2666098177433014,0.1823677197098732,0.027004110626876354,0.02442963235080242,0.024398292414844036,0.8605212569236755,0.8605674207210541,0.020102232694625854,,0.047955251298844814,0.017429244145750998,0.22916221618652344,0.01082540568895638,0.019363430701196192,0.019554690923541784,0.003056466905400157,0.23134499937295913,0.010056471824645996,,0.05206340737640858,36.57943581417203,36.77411364763975,36.87866943329573,36.87945945560932,36.94731467962265,36.875550374388695,,36.76503015309572,0.6540011763572693,0.016165938694030046,0.6531261056661606,0.014124770648777485,0.6075091361999512,0.007958219852298498
