weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp,val_loss_hard_comp_mlp
0.0001,0.0001,10,256,30,0.0001,,,,,,,,,,0.5042631356489091
0.0001,0.001,6,2048,70,0.0001,,,,,,,,,,0.6393754354545048
0.0001,0.001,6,8192,30,0.001,,,,,,,,,,0.6228438133285159
0.0001,0.001,8,512,30,0.0001,,,,,,,,,,0.6851081223714919
0.0001,0.001,8,256,50,0.0001,,,,,,,,,,0.6074247487953731
0.0,0.0001,8,8192,70,0.001,,,,,,,,,,0.45535900479271296
0.0,0.0001,5,512,70,0.001,,,,,,,,,,0.5069356503940764
0.0,0.001,8,4096,70,0.001,,,,,,,,,,0.5361515553224654
0.0,0.001,10,1024,70,0.001,,,,,,,,,,0.5713221090180534
0.0001,0.001,6,512,70,0.0001,,,,,,,,,,0.6809856366543543
0.0,0.0001,8,256,30,0.001,,,,,,,,,,0.4824438364732833
0.0,0.0001,8,8192,50,0.0001,,,,,,,,,,0.43794011643954683
0.0001,0.0001,8,64,70,0.0001,,,,,,,,,,0.5434947467985607
0.0,0.0001,8,64,30,0.001,,,,,,,,,,0.5748888169016156
0.0,0.0001,5,128,50,0.0001,,,,,,,,,,0.478053249063946
0.0,0.001,10,1024,50,0.0001,,,,,,,,,,0.5069594922519866
0.0,0.0001,6,128,70,0.0001,,,,,,,,,,0.47940042331105187
0.0001,0.001,5,4096,30,0.001,,,,,,,,,,0.5998489161332449
0.0,0.0001,10,64,70,0.001,,,,,,,,,,0.5222566610290891
0.0001,0.001,6,256,50,0.001,,,,,,,,,,0.5685326059659322
0.0001,0.001,6,512,50,0.0001,,,,,,,,,,0.7314336810793195
0.0,0.0001,10,4096,30,0.001,,,,,,,,,,0.48936786963826134
0.0001,0.001,10,64,70,0.0001,,,,,,,,,,0.5909060481048766
0.0001,0.001,8,2048,50,0.001,,,,,,,,,,0.5912779640583765
0.0,0.001,8,128,50,0.001,,,,,,,,,,0.5622755487759908
0.0001,0.0001,10,8192,70,0.001,,,,,,,,,,0.5391641486258734
0.0001,0.001,6,2048,50,0.0001,,,,,,,,,,0.5917450601146335
0.0,0.001,8,2048,70,0.001,,,,,,,,,,0.5151642844790504
0.0001,0.001,8,256,30,0.001,,,,,,,,,,0.5534527230830419
0.0,0.0001,5,512,30,0.0001,,,,,,,,,,0.4648630917072296
0.0001,0.0001,6,128,30,0.001,,,,,,,,,,0.5218360736256554
0.0001,0.001,10,4096,70,0.001,,,,,,,,,,0.6212731755915142
0.0,0.0001,10,2048,30,0.001,,,,,,,,,,0.5196793448357355
0.0,0.0001,6,256,50,0.0001,,,,,,,,,,0.4768075517245701
0.0,0.001,8,2048,30,0.001,,,,,,,,,,0.48655859629313153
0.0001,0.001,5,4096,50,0.001,,,,,,,,,,0.5890250319526309
0.0,0.0001,5,2048,70,0.001,,,,,,,,,,0.45868728274390813
0.0,0.0001,8,128,50,0.001,,,,,,,,,,0.5040498262359983
0.0,0.0001,5,8192,50,0.0001,,,,,,,,,,0.4288155053343092
0.0,0.0001,5,4096,50,0.0001,,,,,,,,,,0.4508093425205776
0.0001,0.0001,5,512,70,0.0001,,,,,,,,,,0.5711518880866823
0.0001,0.001,10,64,70,0.001,,,,,,,,,,0.6152482969420296
0.0,0.001,5,512,30,0.0001,,,,,,,,,,0.6113977432250977
0.0,0.0001,10,2048,70,0.001,,,,,,,,,,0.4554401636123657
0.0001,0.001,8,256,30,0.0001,,,,,,,,,,0.5640385860488528
0.0001,0.001,10,256,30,0.0001,,,,,,,,,,0.6004998825845265
0.0,0.0001,6,256,30,0.0001,,,,,,,,,,0.47824906309445697
0.0001,0.0001,8,64,70,0.001,,,,,,,,,,0.5415650833220709
0.0001,0.001,6,512,50,0.0001,,,,,,,,,,0.5968567147141411
0.0,0.001,8,128,70,0.001,,,,,,,,,,0.5086851801191058
0.0001,0.001,5,1024,50,0.0001,,,,,,,,,,0.5976157415480841
0.0,0.0001,10,64,70,0.0001,,,,,,,,,,0.5065135601020995
0.0,0.0001,10,8192,70,0.0001,,,,,,,,,,0.481695294380188
0.0001,0.001,8,8192,70,0.0001,,,,,,,,,,0.606681642078218
0.0,0.0001,6,128,70,0.0001,,,,,,,,,,0.4764527621723357
0.0,0.001,10,512,70,0.001,,,,,,,,,,0.5559003055095673
0.0001,0.0001,5,512,70,0.0001,,,,,,,,,,0.578396988766534
0.0001,0.0001,6,4096,30,0.001,,,,,,,,,,0.511983247030349
0.0001,0.001,6,128,30,0.001,,,,,,,,,,0.5873066626843952
0.0,0.001,6,128,70,0.001,,,,,,,,,,0.5178573685032981
0.0001,0.001,8,4096,70,0.0001,,,,,,,,,,0.6387758297579629
0.0001,0.001,5,512,50,0.0001,,,,,,,,,,0.6165059336594173
0.0001,0.0001,5,256,30,0.001,,,,,,,,,,0.5388500349862235
0.0,0.0001,5,8192,70,0.001,,,,,,,,,,0.46101946915899006
0.0,0.0001,8,64,50,0.001,,,,,,,,,,0.5098752095585778
0.0,0.0001,10,512,50,0.001,,,,,,,,,,0.4928933935506003
0.0001,0.001,6,8192,30,0.0001,,,,,,,,,,0.5514743824799856
0.0001,0.001,6,1024,70,0.0001,,,,,,,,,,0.6110096318381173
0.0,0.0001,10,8192,50,0.001,,,,,,,,,,0.4325598080952962
0.0001,0.0001,10,8192,50,0.0001,,,,,,,,,,0.5205996788683391
0.0,0.0001,5,4096,30,0.0001,,,,,,,,,,0.4475757422901335
0.0,0.0001,5,2048,50,0.0001,,,,,,,,,,0.4396995831103552
0.0,0.001,5,1024,30,0.001,,,,,,,,,,0.48477084154174443
0.0,0.0001,6,128,70,0.001,,,,,,,,,,0.46248820707911537
0.0001,0.0001,6,256,30,0.0001,,,,,,,,,,0.4894301508154188
0.0,0.0001,5,512,50,0.001,,,,,,,,,,0.4793360361031124
0.0001,0.0001,6,2048,70,0.001,,,,,,,,,,0.6124096938541957
0.0,0.001,10,128,70,0.0001,,,,,,,,,,0.5628610863572076
0.0001,0.001,5,256,30,0.001,,,,,,,,,,0.6070260235241481
0.0,0.001,10,4096,30,0.0001,,,,,,,,,,0.6016021044481368
0.0001,0.001,8,8192,30,0.001,,,,,,,,,,0.7392118459656125
0.0001,0.001,5,4096,70,0.0001,,,,,,,,,,0.6134868093899318
0.0,0.001,6,8192,50,0.0001,,,,,,,,,,0.5512693808192298
0.0001,0.001,6,1024,50,0.0001,,,,,,,,,,0.6221091931774503
0.0001,0.001,10,4096,50,0.001,,,,,,,,,,0.8157132835615248
0.0,0.0001,6,64,30,0.0001,,,,,,,,,,0.5376335212162563
0.0,0.001,10,1024,70,0.001,,,,,,,,,,0.5192360069070544
0.0,0.0001,6,64,30,0.0001,,,,,,,,,,0.5310014684995016
0.0,0.0001,5,2048,30,0.0001,,,,,,,,,,0.47547571999686106
0.0001,0.0001,5,128,50,0.0001,,,,,,,,,,0.5284920192900158
0.0,0.001,8,2048,70,0.0001,,,,,,,,,,0.5188734432061514
0.0,0.0001,8,256,50,0.001,,,,,,,,,,0.47650625876017977
0.0,0.001,10,128,30,0.0001,,,,,,,,,,0.6174842147600084
0.0001,0.0001,5,4096,30,0.001,,,,,,,,,,0.6017016740072341
0.0001,0.0001,10,512,30,0.0001,,,,,,,,,,0.4999484547546932
0.0,0.001,8,1024,30,0.001,,,,,,,,,,0.48961054711114793
0.0001,0.0001,10,4096,70,0.0001,,,,,,,,,,0.5348738800911677
0.0001,0.0001,5,64,50,0.0001,,,,,,,,,,0.5300882146472022
0.0,0.0001,10,1024,30,0.001,,,,,,,,,,0.462405203353791
0.0,0.001,5,4096,50,0.001,,,,,,,,,,0.5174168830826169
